,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth,company_esg_score_scale,market_capital_scale,score,return_rate_1y_avg,return_rate_5y_avg,return_rate_10y_avg,return_rate_25y_avg,volatility_1y,volatility_5y,volatility_10y,volatility_25y
12,SEGRO PLC,6.2,Negligible ESG Risk,Real Estate,LON,SGRO.L,11925198848.0,14190986629.12,,0.785,-0.00087,,0.1096774193548387,0.0008891375642037,0.0280862080118624,,,,,,,,
13,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE,35319238656.0,35319238656.0,38.677853,1.4,0.10905,-0.344,0.1161290322580645,0.0022132352741412,0.030692184520122,1.4875234836582945,1.1570742480625644,1.135452319069732,1.1184294068729932,0.11335553631533384,0.10347022638632576,0.09068231916904752,0.1218637163144459
14,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC,3457950976.0,3457950976.0,17.855036,0.75,0.1917,0.154,0.1225806451612903,0.0002165032208187,0.0308075387059366,1.3440617757806557,1.0843271705673665,1.1517172213098077,1.0849690483165433,0.06437081941033299,0.07896234271286964,0.07487012787551577,0.08559830060798479
15,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE,1147405184.0,1147405184.0,,1.274,-0.067329995,,0.1225806451612903,7.170239261955927e-05,0.0306989380847872,1.1833935468905092,0.8647770355556901,0.9055849409925135,0.9611068593752191,0.08111080922010272,0.13006300376080035,0.09816484089399276,0.09816484089399276
16,Pearson Plc,6.7,Negligible ESG Risk,Media,LON,PSON.L,7028418560.0,7028418560.0,21.17,0.307,0.08776,-0.12,0.1419354838709677,0.0004402627606692,0.0358140680382438,,,,,,,,
17,Tritax Big Box REIT Plc,6.8,Negligible ESG Risk,Real Estate,LON,BBOX.L,4023662592.0,4023662592.0,23.171429,,,,0.1483870967741935,0.0002519561042033,0.0372857412717009,,,,,,,,
18,RELX Plc,7.0,Negligible ESG Risk,Media,LON,REL.L,66659176448.0,66659176448.0,35.84,0.478,0.5912,0.132,0.1612903225806451,0.0041772945729027,0.0434555515748383,,,,,,,,
19,TeamViewer SE,7.0,Negligible ESG Risk,Software & Services,ETR,TMV.DE,1845065472.0,1845065472.0,18.11111,0.756,1.37155,-0.183,0.1612903225806451,0.0001154244377977,0.0404091489735096,,,,,,,,
20,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE,1407043072.0,1407043072.0,20.951612,0.987,0.063,0.103,0.1677419354838709,8.797377808374379e-05,0.0420014642045305,1.7987421488720527,1.106983055483927,1.086626811816556,1.0489809400057728,0.14824664087398787,0.10370245196236592,0.09071049473431429,0.10563025159178595
21,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS,3348822528.0,3348822528.0,30.982368,0.889,0.09047,0.625,0.1741935483870968,0.0002096641918303,0.0437056352406469,1.420484229042279,1.1566304336230084,1.1332978638036397,1.0878581931096372,0.1072034697395203,0.08398275107665604,0.077205016893975,0.13280610485172567
22,Great Portland Estates Plc,7.3,Negligible ESG Risk,Real Estate,LON,GPE.L,1416530432.0,1416530432.0,,0.797,-0.17581,,0.1806451612903226,8.856834651436315e-05,0.0452277165824664,,,,,,,,
23,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS,9428096000.0,9428096000.0,,0.596,-0.56743,,0.1806451612903226,0.0005906494277181,0.0456042773933692,0.9935027095584377,0.9115025820983914,1.043076333976794,1.0702516058444196,0.05953159509746924,0.08356507438625202,0.07959149653243015,0.08146027938982087
24,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG,186606000.0,186606000.0,,1.319,-0.89528,,0.1870967741935484,1.14895554371141e-05,0.0467828107149649,0.39434772785347766,0.6486900816506683,0.9418690684943035,0.9632837751218254,0.208625922255638,0.1888553373851326,0.15502987736350043,0.15464132920765755
25,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL,11940569088.0,11940569088.0,31.68388,1.372,0.060170002,34.0,0.1870967741935484,0.0007481049454708,0.0473352722574902,1.8038333952199765,1.1331146460934585,1.0812293850361379,1.122642252300037,0.11676531906714815,0.11074184136415877,0.10085576319731371,0.10144383481686042
26,Land Securities Group Plc,7.4,Negligible ESG Risk,Real Estate,LON,LAND.L,4871829504.0,4871829504.0,,1.441,-0.05045,,0.1870967741935484,0.0003051103293799,0.047003026295422,,,,,,,,
27,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED,9027288064.0,9027288064.0,40.911827,1.421,0.15542,0.057,0.1870967741935484,0.0005655309811232,0.0471983417842295,1.48896957208017,1.0736905778685792,1.214068255472351,1.1833355204407296,0.11442315185724637,0.11576573796494606,0.1406869062882096,0.21686213016966926
28,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW,28603965440.0,28603965440.0,26.274847,1.033,0.58541,0.078,0.1935483870967742,0.0017923922306372,0.0497313909471715,1.1456626208227203,1.1464418064164372,1.2353289286509823,1.1044504196360634,0.05589555259721917,0.07855938404639648,0.06944679468870818,0.06705962173989437
29,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX,11419762688.0,11419762688.0,14.38,1.085,0.16027,-0.171,0.1935483870967742,0.0007154662510495,0.0489236964624807,1.5878113337704465,1.3244559237915634,1.1504626401600204,1.0451057339034957,0.10264133620041228,0.10083682352315639,0.09915592665444291,0.13718802115186493
30,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI,2636880128.0,2636880128.0,15.2627125,2.071,0.05895,-0.441,0.1935483870967742,0.0001650470933477,0.0485108820942044,1.4426047962034583,1.0976246794566813,1.0107596838211643,1.0042900602017366,0.15400086022956103,0.20327106234158185,0.20137929235138416,0.20137929235138416
31,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL,18189604864.0,18189604864.0,40.800003,1.625,0.4276,0.145,0.2,0.0011397291058505,0.0508547968293879,1.3849480276343715,1.337040736780747,1.3072454613568194,1.262260072314474,0.10041617422313043,0.16526047589788337,0.14248346374533347,0.11852180920714162
32,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW,6667792896.0,6667792896.0,11.836466,1.265,0.10271,-0.512,0.2064516129032258,0.0004176625183378,0.0519261501145598,0.9992364717780968,1.1024152827404445,1.0852229013914882,1.0823259554752838,0.06285734131276614,0.08612988966826363,0.07675020379192539,0.10238274256674583
33,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN,7588817920.0,7588817920.0,25.948084,0.954,0.18428,0.338,0.2064516129032258,0.0004753827274455,0.0519694402713906,1.3241279678708813,1.3359854303872443,1.315394630116563,1.1300498880552212,0.15996605105574288,0.11385639729892402,0.11196757481204726,0.12712476157330596
34,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT,6032965632.0,6032965632.0,97.69186,1.287,0.09362,-0.345,0.2064516129032258,0.000377878189497,0.0518963118679292,1.3159199911912949,1.1855207368948377,1.327760403571712,1.1002068205440418,0.09480441549804865,0.09739097937819025,0.09156167077150974,0.17559675230897775
35,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN,4569562624.0,4569562624.0,29.960396,1.055,0.08287,-0.922,0.2064516129032258,0.0002861674048498,0.0518275287794438,1.1165089475293828,1.0467930950042788,1.0330620914004756,1.096674683484855,0.10393939741009672,0.08263349560179957,0.07070033535116216,0.07251934048069889
36,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX,9467225088.0,9467225088.0,15.515407,1.404,0.0792,0.175,0.2129032258064516,0.0005931016294311,0.0536706326736862,1.1946950973982458,1.168477056956265,1.145947851626123,1.1237427944891274,0.07829003254464091,0.10915635856938097,0.09939721626643228,0.10272393041604343
37,"TOPPAN Holdings, Inc.",7.8,Negligible ESG Risk,Commercial Services,TKS,7911.T,1313461764096.0,1313461764096.0,17.856844,0.619,0.05697,0.079,0.2129032258064516,0.0823138318003326,0.1149611803018624,,,,,,,,
38,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR,2115328128.0,2115328128.0,13.124417,2.041,,2.983,0.2129032258064516,0.0001323616725219,0.0533250777060043,1.2909269623023818,0.9230348955584086,1.0496780608145977,1.0667499853723086,0.13074858399868322,0.160897639903802,0.13005466007867938,0.13391242119820004
39,De La Rue Plc,7.8,Negligible ESG Risk,Commercial Services,LON,DLAR.L,182315328.0,182315328.0,,1.369,-1.5158701,,0.2129032258064516,1.1220661022087955e-05,0.0532342219473794,,,,,,,,
40,dip Corp.,7.9,Negligible ESG Risk,Commercial Services,TKS,2379.T,150857236480.0,150857236480.0,16.234947,0.949,0.25912002,0.336,0.2193548387096774,0.0094539477635079,0.0619291705000503,,,,,,,,
41,Anritsu Corp.,7.9,Negligible ESG Risk,Technology Hardware,TKS,6754.T,147042058240.0,147042058240.0,17.6984,,0.06661,1.86,0.2193548387096774,0.0092148523208674,0.0617498489180699,,,,,,,,
42,Schaeffler AG,7.9,Negligible ESG Risk,Auto Components,ETR,SHA.DE,2879783936.0,2879783936.0,9.608889,1.352,0.084309995,-0.807,0.2193548387096774,0.0001802697618155,0.0549739119987809,,,,,,,,
43,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI,1733166976.0,1733166976.0,106.25,1.256,0.01112,2.765,0.2193548387096774,0.0001084118111918,0.0549200185358132,1.6591906308077105,1.1172051419486215,1.1210097403525572,1.0005899273584242,0.13163322771538855,0.10306991162844995,0.11600836962353998,0.16080251028946838
44,Mori Hills REIT Investment Corp.,7.9,Negligible ESG Risk,Real Estate,TKS,3234.T,241265950720.0,241265950720.0,18.96787,0.284,0.062030002,-0.018,0.2193548387096774,0.0151198197595101,0.0661785744970519,,,,,,,,
45,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI,1163224832.0,1163224832.0,,1.964,,,0.2193548387096774,7.269380258864558e-05,0.0548932300293608,2.2984075571451807,1.117769422219386,0.9171263003295997,0.9565936329091425,0.15119934007618752,0.20344087102063932,0.17038038980274914,0.12297394586180266
46,Big Yellow Group Plc,8.0,Negligible ESG Risk,Real Estate,LON,BYG.L,2555361280.0,2555361280.0,10.380953,0.719,0.10358,0.689,0.2258064516129032,0.0001599383451268,0.0565715666620709,,,,,,,,
47,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN,4030656000.0,4030656000.0,21.83738,1.403,0.10443,-0.164,0.2258064516129032,0.0002523943778242,0.0566409086865939,1.1637606989263882,1.0881240660788873,1.133722143107351,1.0866690437168975,0.06524518408153805,0.10909720140906183,0.10093684269051233,0.13874802268761222
48,Coats Group Plc,8.0,Negligible ESG Risk,Textiles & Apparel,LON,COA.L,1576693760.0,1576693760.0,19.8,1.404,0.18911,1.434,0.2258064516129032,9.86057076529448e-05,0.0565255671839655,,,,,,,,
49,"Anywhere Real Estate, Inc.",8.0,Negligible ESG Risk,Real Estate,NYS,HOUS,551914112.0,551914112.0,,2.293,-0.03061,0.587,0.2258064516129032,3.4383244602947576e-05,0.056477400336678,0.7522324686926234,0.9291320943642697,0.8194431051667873,0.9227102188664376,0.2733332276603239,0.21188033866542946,0.17245792751131314,0.16051657003532974
50,"Valvoline, Inc.",8.0,Negligible ESG Risk,Retailing,NYS,VVV,5025774080.0,5025774080.0,26.712328,1.457,1.0227101,0.403,0.2258064516129032,0.0003147579642282,0.056687681376397,1.4063201163000991,1.1692514740077065,1.095442316490008,1.0371362295110236,0.08052279145225386,0.10011646132568215,0.08904064778218639,0.08904064778218639
51,PageGroup Plc,8.0,Negligible ESG Risk,Commercial Services,LON,PAGE.L,1213418240.0,1213418240.0,23.050001,1.111,0.16686001,-0.61,0.2258064516129032,7.58394000806768e-05,0.0565084924532863,,,,,,,,
52,Deutsche Börse AG,8.1,Negligible ESG Risk,Diversified Financials,ETR,DB1.DE,38505742336.0,38505742336.0,21.419815,0.602,0.19806999,0.132,0.232258064516129,0.0024129319750338,0.0598742151103076,,,,,,,,
53,"AvalonBay Communities, Inc.",8.1,Negligible ESG Risk,Real Estate,NYS,AVB,32068509696.0,32068509696.0,38.218643,0.986,0.07143,-0.311,0.232258064516129,0.0020095136048764,0.0595716513326895,1.2344318076862228,1.0222393252995783,1.0751671892634194,1.1219085828348128,0.038541413543248665,0.0711739817308703,0.058536340928088536,0.06538367079342206
54,"Sekisui House Reit, Inc.",8.2,Negligible ESG Risk,Real Estate,TKS,3309.T,355338027008.0,355338027008.0,28.712233,0.422,0.0424,,0.2387096774193547,0.0222686636292535,0.0763789170767788,,,,,,,,
55,"Starwood Property Trust, Inc.",8.2,Negligible ESG Risk,Real Estate,NYS,STWD,6852578816.0,6852578816.0,17.972727,1.738,0.05274,-0.548,0.2387096774193547,0.0004292429658442,0.0599993515792219,1.1333233343545344,1.053965768205438,1.0868446269971594,1.057898992483268,0.05320647942340405,0.1202852034211515,0.0891413176144061,0.07850591812253675
56,Molten Ventures Plc,8.2,Negligible ESG Risk,Diversified Financials,LON,GROW.L,772003648.0,772003648.0,,,,,0.2387096774193547,4.8176153274618455e-05,0.0597135514697946,,,,,,,,
57,MITIE Group Plc,8.3,Negligible ESG Risk,Commercial Services,LON,MTO.L,1500375296.0,1500375296.0,13.311111,1.41,0.29238,0.567,0.2451612903225807,9.382286507421265e-05,0.0613606897294508,,,,,,,,
58,Korn Ferry,8.3,Negligible ESG Risk,Commercial Services,NYS,KFY,3588211200.0,3588211200.0,19.65527,1.546,0.10988,0.309,0.2451612903225807,0.0002246665683628,0.0614588225069172,1.5476267864367885,1.1469075505601074,1.1237231158256178,1.051306836700195,0.06974791623091613,0.11023567601023608,0.10388513531477242,0.12943688650319052
59,"Methode Electronics, Inc.",8.3,Negligible ESG Risk,Technology Hardware,NYS,MEI,340467648.0,340467648.0,,0.716,-0.16997999,,0.2451612903225807,2.113199322632718e-05,0.0613061715755649,0.5796119595442177,0.839375054772607,0.9136059091852547,1.042509473459534,0.1807989964072442,0.11150176118897122,0.10930523733181167,0.14453761262054135
60,The British Land Co. Plc,8.4,Negligible ESG Risk,Real Estate,LON,BLND.L,4041840640.0,4041840640.0,,1.555,0.00017999999,,0.2516129032258065,0.0002530953140015,0.0630930472919528,,,,,,,,
61,"Royal Gold, Inc.",8.5,Negligible ESG Risk,Precious Metals,NAS,RGLD,8870419456.0,8870419456.0,36.96712,0.647,0.10985,0.142,0.2580645161290322,0.0005557000985518,0.0649329041061719,1.2948784751377433,1.0375986183500516,1.0934888076017613,1.1576784401181899,0.09938133568909137,0.10190461969839243,0.11464076113811662,0.13633462381195294
62,"Kforce, Inc.",8.6,Negligible ESG Risk,Commercial Services,NYS,KFRC,1221264640.0,1221264640.0,23.42751,0.889,0.2904,-0.211,0.2645161290322581,7.6331130312692e-05,0.066186280605799,1.1807625012357907,1.1462048956970015,1.1532458245755741,1.098339002800277,0.07514136433635701,0.08794775089754332,0.096850035716609,0.14177359349244983
63,IWG Plc,8.6,Negligible ESG Risk,Commercial Services,LON,IWG.L,1726489088.0,1726489088.0,,2.102,-0.89572,,0.2645161290322581,0.0001079933110624,0.0662100272413613,,,,,,,,
64,"ORIX JREIT, Inc.",8.6,Negligible ESG Risk,Real Estate,TKS,8954.T,420348002304.0,420348002304.0,21.626673,0.497,0.05553,0.035,0.2645161290322581,0.026342808490031,0.0858861386255877,,,,,,,,
65,ElringKlinger AG,8.6,Negligible ESG Risk,Auto Components,ETR,ZIL2.DE,249321600.0,249321600.0,4.6294117,1.742,0.054580003,2.75,0.2645161290322581,1.5419912867142225e-05,0.0661405971927148,,,,,,,,
66,Sanmina Corp.,8.6,Negligible ESG Risk,Technology Hardware,NAS,SANM,3441096448.0,3441096448.0,16.313473,0.894,0.10235,-0.289,0.2645161290322581,0.0002154469554022,0.0662906174746161,1.3895829578818941,1.1957588056559565,1.1415734195663414,0.9859951604518552,0.0759795215559522,0.09485577169708549,0.09700387527476947,0.1692525098498314
67,Spectris Plc,8.6,Negligible ESG Risk,Technology Hardware,LON,SXS.L,2830650880.0,2830650880.0,10.559701,0.613,0.19844,2.596,0.2645161290322581,0.0001771906160892,0.0662619252201314,,,,,,,,
68,"YETI Holdings, Inc.",8.6,Negligible ESG Risk,Consumer Durables,NYS,YETI,3070328064.0,3070328064.0,16.869766,2.116,0.29001,0.343,0.2645161290322581,0.0001922110735343,0.0662731905632152,0.8042917159696952,1.0668670039867447,1.0862668413567893,1.0336526183959767,0.11537753938296974,0.15321597213316762,0.16611976606165024,0.16611976606165024
69,Accenture Plc,8.6,Negligible ESG Risk,Software & Services,NYS,ACN,214104309760.0,214104309760.0,31.329973,1.239,0.26,-0.02,0.2645161290322581,0.0134176123763568,0.0761922415403321,1.0818206074832635,1.1289802534375204,1.1680635922592197,1.1477966846712784,0.08549303255470853,0.07994546944636134,0.06638148346956718,0.07295739743517544
70,"Hudson Pacific Properties, Inc.",8.6,Negligible ESG Risk,Real Estate,NYS,HPP,689771648.0,689771648.0,,1.336,-0.062319998,,0.2645161290322581,4.302271215014428e-05,0.0661612992921771,0.8914380989622203,0.7487379904818362,0.9027105321722383,0.9792561399502728,0.2634092315057467,0.16520325335041133,0.1214201427612878,0.10617933073873646
71,"Pronexus, Inc. (Japan)",8.7,Negligible ESG Risk,Commercial Services,TKS,7893.T,31631284224.0,31631284224.0,11.508121,0.34,0.10151,0.463,0.2709677419354839,0.0019821128882688,0.0692285201500726,,,,,,,,
72,Savills Plc,8.7,Negligible ESG Risk,Real Estate,LON,SVS.L,1549364864.0,1549364864.0,36.903225,1.24,0.057340004,0.706,0.2709677419354839,9.689301847436616e-05,0.0678146052477267,,,,,,,,
73,AGNC Investment Corp.,8.7,Negligible ESG Risk,Real Estate,NAS,AGNC,7988957696.0,7988957696.0,26.868422,1.457,0.05021,,0.2709677419354839,0.0005004593007646,0.0681172799594444,1.230891527369275,1.0298001312928133,1.0503062638917067,1.0770553651517447,0.08281769630364921,0.1055419526900693,0.07937811024066167,0.07896750634793813
74,CTS Corp.,8.7,Negligible ESG Risk,Technology Hardware,NYS,CTS,1363089280.0,1363089280.0,25.2191,0.575,0.10557,0.172,0.2709677419354839,8.52192144191195e-05,0.0678058498946853,1.2790586688676395,1.1037513606282918,1.1269201485410263,1.0055921729517754,0.07477870174960094,0.09791463176856624,0.08986163894269651,0.12263623946979722
75,"Interpublic Group of Cos., Inc.",8.7,Negligible ESG Risk,Media,NYS,IPG,11665856512.0,11665856512.0,11.503703,1.084,0.27183,-0.162,0.2709677419354839,0.0007308888363336,0.0682901021111212,1.1089293630876491,1.1154822287521236,1.0915097519939088,1.0081859008242147,0.06280589542650579,0.08248412943681527,0.07298665514762229,0.10486904534019756
76,"Badger Meter, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NYS,BMI,5649105408.0,5649105408.0,50.148827,0.77,0.21733999,0.474,0.2774193548387097,0.0003538218481164,0.0696202050957647,1.424310442740441,1.3118268462284892,1.2435688735133967,1.1855770490448145,0.06522957437521396,0.07982261398275003,0.07333874346184005,0.09206323271319126
77,Future Plc,8.8,Negligible ESG Risk,Media,LON,FUTR.L,1180223744.0,1180223744.0,13.934211,1.007,0.08428001,-0.379,0.2774193548387097,7.375911648314065e-05,0.0694101580470397,,,,,,,,
78,Tritax EuroBox Plc,8.8,Negligible ESG Risk,Real Estate,LON,EBOX.L,295908896.0,295908896.0,2.7667985,,,,0.2774193548387097,1.833951700038052e-05,0.0693685933474277,,,,,,,,
79,"ScanSource, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NAS,SCSC,1086913024.0,1086913024.0,14.781046,1.414,0.08424,,0.2774193548387097,6.791137713833211e-05,0.0694057722425311,1.6554611775137038,1.0999362561722446,1.0333005429524051,1.081736773213816,0.09122750391991255,0.11156043637636431,0.09749770190528678,0.11161827818925778
80,"ManpowerGroup, Inc.",8.8,Negligible ESG Risk,Commercial Services,NYS,MAN,3321352960.0,3321352960.0,69.30693,1.427,0.01984,-0.039,0.2774193548387097,0.000207942686803,0.0695107957247797,1.0521936759437256,1.008060900333871,1.0336706405326619,1.0580317906721042,0.06652389981889067,0.11008835799096793,0.09628826310592774,0.09860782045807272
81,Okamura Corp.,8.9,Negligible ESG Risk,Commercial Services,TKS,7994.T,188151480320.0,188151480320.0,8.938849,0.302,0.12762,0.126,0.2838709677419355,0.0117911606479231,0.0798111124214262,,,,,,,,
82,"Nippon Prologis REIT, Inc.",8.9,Negligible ESG Risk,Real Estate,TKS,3283.T,763664072704.0,763664072704.0,30.737518,0.365,0.04976,0.088,0.2838709677419355,0.0478582666558573,0.1068614419273769,,,,,,,,
83,"Piedmont Office Realty Trust, Inc.",8.9,Negligible ESG Risk,Real Estate,NYS,PDM,1169320064.0,1169320064.0,,1.199,-0.0478,,0.2838709677419355,7.307578793804741e-05,0.0710225487764374,1.6550776287425883,0.8949666255876771,0.9872908812820905,1.0001640041345141,0.10884562985350381,0.10564307494091912,0.08134207627744121,0.07220753750340936
84,3i Group Plc,8.9,Negligible ESG Risk,Diversified Financials,LON,III.L,29838102528.0,29838102528.0,7.793451,,,,0.2838709677419355,0.0018697350269031,0.0723700432056612,,,,,,,,
85,Nationwide Building Society,8.9,Negligible ESG Risk,Banks,LON,NBS.L,1204148864.0,1204148864.0,0.009930786,0.303,0.07516,-0.338,0.2838709677419355,7.525849260576906e-05,0.0710241858049382,,,,,,,,
86,discoverIE Group Plc,8.9,Negligible ESG Risk,Technology Hardware,LON,DSCV.L,566054848.0,566054848.0,36.875,1.095,0.051220004,-0.622,0.2838709677419355,3.526943793927325e-05,0.0709941940139383,,,,,,,,
87,"BELLSYSTEM24 Holdings, Inc.",9.0,Negligible ESG Risk,Commercial Services,TKS,6183.T,113395597312.0,113395597312.0,18.1156,0.462,0.099659994,-0.427,0.2903225806451612,0.007106244291884,0.0779103283802033,,,,,,,,
88,"Kelly Services, Inc.",9.0,Negligible ESG Risk,Commercial Services,NAS,KELYA,719899328.0,719899328.0,15.287878,1.192,0.03839,-0.4,0.2903225806451612,4.491079981792566e-05,0.0726143282611537,1.273968017640654,1.0005661660767253,1.0556958791177384,1.0062476581918247,0.09712938417921219,0.10898137349073336,0.09121302242585537,0.09545215236289357
89,Seiko Epson Corp.,9.0,Negligible ESG Risk,Technology Hardware,TKS,6724.T,873778511872.0,873778511872.0,16.750273,0.989,0.06381,-0.051,0.2903225806451612,0.0547590872513284,0.1136499605997866,,,,,,,,
90,"Raksul, Inc.",9.1,Negligible ESG Risk,Commercial Services,TKS,4384.T,69563187200.0,69563187200.0,36.63093,0.569,0.14604999,2.369,0.2967741935483871,0.0043592875736234,0.0774630140673143,,,,,,,,
91,Sensata Technologies Holding Plc,9.1,Negligible ESG Risk,Technology Hardware,NYS,ST,5269943808.0,5269943808.0,581.8334,1.256,-0.01382,0.469,0.2967741935483871,0.0003300599673125,0.0744410933625811,1.0111479877777196,0.9561379144472113,0.9921164731011349,1.0290940812091725,0.07635012733048284,0.09773328831024232,0.08460496572610754,0.08337258154837474
92,Burberry Group Plc,9.1,Negligible ESG Risk,Textiles & Apparel,LON,BRBY.L,2061858048.0,2061858048.0,7.7702703,1.057,0.20126,-0.597,0.2967741935483871,0.0001290107275224,0.0742903064327385,,,,,,,,
93,"KOKUYO CO., LTD.",9.1,Negligible ESG Risk,Commercial Services,TKS,7984.T,282834239488.0,282834239488.0,12.385253,-0.073,0.08799,-0.09,0.2967741935483871,0.0177248850480964,0.0874872121731691,,,,,,,,
94,"Crown Holdings, Inc.",9.1,Negligible ESG Risk,Containers & Packaging,NYS,CCK,10966266880.0,10966266880.0,25.180056,0.853,0.20309,0.107,0.2967741935483871,0.0006870458800659,0.0747088327971462,0.9800492111367437,1.0620486567250622,1.0714869778770713,1.0575884943734402,0.09307312622900796,0.08510273356708765,0.081518084699101,0.16843491775003383
