,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth,company_esg_score_scale,market_capital_scale,score,return_rate_1y_avg,return_rate_5y_avg,return_rate_10y_avg,return_rate_25y_avg,volatility_1y,volatility_5y,volatility_10y,volatility_25y,industry_Auto Components,industry_Automobiles,industry_Banks,industry_Building Products,industry_Chemicals,industry_Commercial Services,industry_Construction Materials,industry_Consumer Durables,industry_Consumer Services,industry_Containers & Packaging,industry_Diversified Financials,industry_Diversified Metals,industry_Electrical Equipment,industry_Energy Services,industry_Food Products,industry_Food Retailers,industry_Healthcare,industry_Homebuilders,industry_Household Products,industry_Insurance,industry_Machinery,industry_Media,industry_Oil & Gas Producers,industry_Paper & Forestry,industry_Pharmaceuticals,industry_Precious Metals,industry_Real Estate,industry_Refiners & Pipelines,industry_Retailing,industry_Semiconductors,industry_Software & Services,industry_Technology Hardware,industry_Telecommunication Services,industry_Textiles & Apparel,industry_Traders & Distributors,industry_Transportation,industry_Transportation Infrastructure,industry_Utilities,stock_exchange_ETR,stock_exchange_LON,stock_exchange_NAS,stock_exchange_NYS,stock_exchange_TKS,stock_ticker_label,trailing_pe_scaled
11,"Keysight Technologies, Inc.",6.2,Negligible ESG Risk,Technology Hardware,NYS,KEYS,25306042368.0,23281558978.56,28.09634,0.974,0.18031,0.379,0.1096774193548387,0.0014588394976434,0.0285134844619422,433527837.5155864,3.619948763824059e+22,2.846673902841301e+21,1030643712.732314,0.0741992712723274,0.0808549916058022,0.081100489643246,0.080540042092574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1021,0.0024312246
12,SEGRO PLC,6.2,Negligible ESG Risk,Real Estate,LON,SGRO.L,11925198848.0,14190986629.12,60.117207,0.785,-0.00087,,0.1096774193548387,0.0008891375642037,0.0280862080118624,619073848988.4639,4.4124256087880373e+30,,,0.0437084678213341,0.0744300356672143,0.061418957931119,0.0742311083368017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1415,0.005203025
13,"CBRE Group, Inc.",6.3,Negligible ESG Risk,Real Estate,NYS,CBRE,35319238656.0,35319238656.0,38.677853,1.4,0.10905,-0.344,0.1161290322580645,0.0022132352741412,0.030692184520122,135069710.7529198,6.194351067497177e+19,3.086484154099358e+19,,0.1425651968621737,0.0958605093123601,0.0924699198814251,0.1215508752405058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,571,0.0033471847
14,Brady Corp.,6.4,Negligible ESG Risk,Commercial Services,NYS,BRC,3457950976.0,3457950976.0,17.855036,0.75,0.1917,0.154,0.1225806451612903,0.0002165032208187,0.0308075387059366,25288718.923446137,4.786227151753957e+17,8.407800116443625e+17,,0.0509624451122952,0.0750940880580651,0.0755716062149791,0.0850249732896603,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,545,0.0015447136
15,"Paramount Group, Inc.",6.4,Negligible ESG Risk,Real Estate,NYS,PGRE,1147405184.0,1147405184.0,60.117207,1.274,-0.067329995,,0.1225806451612903,7.170239261955927e-05,0.0306989380847872,586.0092381704994,167026900.84967104,35412314310.04534,31151.44785560624,0.104837211693559,0.1262749745142865,0.099140531423453,0.0971040848361011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1274,0.005203025
16,Pearson Plc,6.7,Negligible ESG Risk,Media,LON,PSON.L,7028418560.0,7028418560.0,21.17,0.307,0.08776,-0.12,0.1419354838709677,0.0004402627606692,0.0358140680382438,1138329576563.4197,8.64909842302342e+29,,,0.0369444702136628,0.077267778171577,0.0827786132798677,0.0794985381933732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1306,0.0018316646
17,Tritax Big Box REIT Plc,6.8,Negligible ESG Risk,Real Estate,LON,BBOX.L,4023662592.0,4023662592.0,23.171429,1.0494262948207171,-0.0010904097837295,,0.1483870967741935,0.0002519561042033,0.0372857412717009,666452222.9748927,5.394238779295226e+22,2.4449683505240783e+23,40147514390.99135,0.0416841488293156,0.0847184055747373,0.0671332027048239,0.0630588450787615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,495,0.0020049128
18,RELX Plc,7.0,Negligible ESG Risk,Media,LON,REL.L,66659176448.0,66659176448.0,35.84,0.478,0.5912,0.132,0.1612903225806451,0.0041772945729027,0.0434555515748383,171031715549448.0,8.731463250846158e+34,,,0.0323336961375774,0.0523369836755322,0.0487102623601518,0.054724173755423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1338,0.0031015337
19,TeamViewer SE,7.0,Negligible ESG Risk,Software & Services,ETR,TMV.DE,1845065472.0,1845065472.0,18.11111,0.756,1.37155,-0.183,0.1612903225806451,0.0001154244377977,0.0404091489735096,18607.791153270657,10267435085539.14,52307277.98186434,1222.9954692770357,0.1415783548911719,0.1291890016414452,0.1291301444194122,0.1291301444194122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1502,0.00156688
20,"Benchmark Electronics, Inc.",7.1,Negligible ESG Risk,Technology Hardware,NYS,BHE,1407043072.0,1407043072.0,20.951612,0.987,0.063,0.103,0.1677419354838709,8.797377808374379e-05,0.0420014642045305,3198364.1307070013,428086843570959.25,2622404434819385.0,,0.1773814344504682,0.1049459198931415,0.0951892544785616,0.1031513158384585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,517,0.0018127605
21,Plexus Corp.,7.2,Negligible ESG Risk,Technology Hardware,NAS,PLXS,3348822528.0,3348822528.0,30.982368,0.889,0.09047,0.625,0.1741935483870968,0.0002096641918303,0.0437056352406469,203117758.00029084,2.4918813703536647e+20,3.5035109384488806e+20,,0.1616588416902678,0.0795715740653688,0.0777988190192184,0.1283306299957877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1286,0.002681046
22,Great Portland Estates Plc,7.3,Negligible ESG Risk,Real Estate,LON,GPE.L,1416530432.0,1416530432.0,60.117207,0.797,-0.17581,,0.1806451612903226,8.856834651436315e-05,0.0452277165824664,13869242887.5,2.3273449501591515e+27,1.3573035680550306e+30,,0.0471847369455792,0.074001415583187,0.0685381312733959,0.0687388579976574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,857,0.005203025
23,"Hasbro, Inc.",7.3,Negligible ESG Risk,Consumer Durables,NAS,HAS,9428096000.0,9428096000.0,50.694576,0.596,-0.56743,,0.1806451612903226,0.0005906494277181,0.0456042773933692,16826925.45868568,9.4262240786842e+18,3.73348153557447e+20,,0.0498145599583086,0.080879150160546,0.0797281396263447,0.0806439322089048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,882,0.00438738
24,"Chegg, Inc.",7.4,Negligible ESG Risk,Consumer Services,NYS,CHGG,186606000.0,186606000.0,434.58374,1.319,-0.89528,,0.1870967741935484,1.14895554371141e-05,0.0467828107149649,43.99031315715864,118668025940124.31,167682291422806.72,1954795.742417439,0.2231035667853286,0.1855464563574993,0.1617906882283893,0.1571548731327601,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,591,0.037617713
25,"Jones Lang LaSalle, Inc.",7.4,Negligible ESG Risk,Real Estate,NYS,JLL,11940569088.0,11940569088.0,31.68388,1.372,0.060170002,34.0,0.1870967741935484,0.0007481049454708,0.0473352722574902,3339365888.348111,2.3282113213683777e+23,2.702731547024956e+24,,0.1251641375508998,0.1032494608450429,0.1027827880457358,0.1004827363483239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1004,0.0027417704
26,Land Securities Group Plc,7.4,Negligible ESG Risk,Real Estate,LON,LAND.L,4871829504.0,4871829504.0,60.117207,1.441,-0.05045,,0.1870967741935484,0.0003051103293799,0.047003026295422,153612009891.8445,4.691052343600313e+28,,,0.0381463026776199,0.0842051982684268,0.0803606097447473,0.0743070726548664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1048,0.005203025
27,Universal Display Corp.,7.4,Negligible ESG Risk,Technology Hardware,NAS,OLED,9027288064.0,9027288064.0,40.911827,1.421,0.15542,0.057,0.1870967741935484,0.0005655309811232,0.0471983417842295,1770080117.0728984,8.604098581709018e+22,2.026155851572651e+23,,0.0987131511007447,0.1162410334707541,0.1387830430619271,0.1674313712494969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1216,0.003540563
28,CDW Corp.,7.5,Negligible ESG Risk,Technology Hardware,NAS,CDW,28603965440.0,28603965440.0,26.274847,1.033,0.58541,0.078,0.1935483870967742,0.0017923922306372,0.0497313909471715,2358743232.3824067,2.068783560617714e+23,2.9006343536201704e+22,19372731240.216743,0.0398147639646964,0.0703171031510042,0.0694573047406746,0.0668973222001586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,582,0.002273552
29,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX,11419762688.0,11419762688.0,14.38,1.085,0.16027,-0.171,0.1935483870967742,0.0007154662510495,0.0489236964624807,875446.4290920455,3204458156114.3765,1239782011539.2583,145584519965.73254,0.1089502925766316,0.0962057254760469,0.1015079392293677,0.1360222105407659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,799,0.0012439064
30,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI,2636880128.0,2636880128.0,15.2627125,2.071,0.05895,-0.441,0.1935483870967742,0.0001650470933477,0.0485108820942044,161085.83525877955,35336063807918.69,850400708.2738084,3731.2078744413416,0.1570324076460242,0.1690225249657719,0.1996787638408036,0.1996787638408036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1344,0.0013203161
31,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL,18189604864.0,18189604864.0,40.800003,1.625,0.4276,0.145,0.2,0.0011397291058505,0.0508547968293879,410090729909.9376,3.636961413669382e+27,1.2186421116819975e+26,,0.1234058479789764,0.1417935119851808,0.1436203742123668,0.1190398858963305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1509,0.003530883
32,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW,6667792896.0,6667792896.0,11.836466,1.265,0.10271,-0.512,0.2064516129032258,0.0004176625183378,0.0519261501145598,252127246.7595248,2.1386222947063064e+21,5.325465987783378e+21,,0.0839911003275738,0.0763403473168985,0.0780231895218943,0.0973728572595441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,461,0.0010237322
33,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN,7588817920.0,7588817920.0,25.948084,0.954,0.18428,0.338,0.2064516129032258,0.0004753827274455,0.0519694402713906,2725164504.3886914,2.973254460212589e+21,1.8926248638685423e+20,95391839176.42313,0.1346640075993298,0.1194797280602541,0.1150555471054646,0.1272462260218933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,804,0.0022452667
34,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT,6032965632.0,6032965632.0,97.69186,1.287,0.09362,-0.345,0.2064516129032258,0.000377878189497,0.0518963118679292,912219934.8499724,2.8066809913056787e+22,5.631202731538896e+20,,0.0959495977551114,0.0980647815034933,0.0920213248110728,0.1552200143474025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1181,0.008455574
35,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN,4569562624.0,4569562624.0,29.960396,1.055,0.08287,-0.922,0.2064516129032258,0.0002861674048498,0.0518275287794438,830398.109744372,2723047072530802.5,6343850926176579.0,,0.0265790998872678,0.0803791580504622,0.0696148974129553,0.0704767876414411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1382,0.0025925816
36,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX,9467225088.0,9467225088.0,15.515407,1.404,0.0792,0.175,0.2129032258064516,0.0005931016294311,0.0536706326736862,182694668.48594752,3.870452574364909e+20,2.2177336908828643e+20,,0.0695103397622448,0.0885903522016845,0.1011200025430518,0.1025482780590265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1443,0.0013421898
37,"TOPPAN Holdings, Inc.",7.8,Negligible ESG Risk,Commercial Services,TKS,7911.T,1313461764096.0,1313461764096.0,17.856844,0.619,0.05697,0.079,0.2129032258064516,0.0823138318003326,0.1149611803018624,355590826744725.0,1.0484059728345769e+35,,,0.0321922990458611,0.0755500007918185,0.0741771632942449,0.0732875378586656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252,0.0015448701
38,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR,2115328128.0,2115328128.0,13.124417,2.041,0.1457590160714285,2.983,0.2129032258064516,0.0001323616725219,0.0533250777060043,66122953.842107825,8.384496850660821e+18,2.7849733042261354e+21,,0.1268889937825497,0.1387655038215935,0.1340773771296103,0.1338804557075482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,609,0.0011352203
39,De La Rue Plc,7.8,Negligible ESG Risk,Commercial Services,LON,DLAR.L,182315328.0,182315328.0,84.24426,1.369,-1.5158701,,0.2129032258064516,1.1220661022087955e-05,0.0532342219473794,82868781.16964562,7.287822080354298e+20,3.416368764415393e+25,,0.0530123428363279,0.1180460807232567,0.2681016446518354,0.188292834552022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,699,0.0072915186
40,dip Corp.,7.9,Negligible ESG Risk,Commercial Services,TKS,2379.T,150857236480.0,150857236480.0,16.234947,0.949,0.25912002,0.336,0.2193548387096774,0.0094539477635079,0.0619291705000503,66397550260929.02,1.4970119433698765e+36,,,0.0943172182748704,0.0945019421992349,0.1193778065634965,0.1641354015886465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.001404475
41,Anritsu Corp.,7.9,Negligible ESG Risk,Technology Hardware,TKS,6754.T,147042058240.0,147042058240.0,17.6984,0.9928571428571428,0.06661,1.86,0.2193548387096774,0.0092148523208674,0.0617498489180699,2017638954954.0,9.975558443205874e+32,,,0.0764253791670603,0.0678168325918092,0.0851597205131602,0.1086032528952635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,175,0.001531155
42,Schaeffler AG,7.9,Negligible ESG Risk,Auto Components,ETR,SHA.DE,2879783936.0,2879783936.0,9.608889,1.352,0.084309995,-0.807,0.2193548387096774,0.0001802697618155,0.0549739119987809,533.4721023432636,25398222.986051153,170962206.31131274,1964.0839447486992,0.0270797989574905,0.0932413813062234,0.1011358267997534,0.1011358267997534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1416,0.000830908
43,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI,1733166976.0,1733166976.0,106.25,1.256,0.01112,2.765,0.2193548387096774,0.0001084118111918,0.0549200185358132,132417.26341137412,978674033358.8972,2703629337797.094,622847552308.7046,0.041083263258872,0.0988578981778251,0.1157082856418464,0.1602055710245876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1526,0.009196387
44,Mori Hills REIT Investment Corp.,7.9,Negligible ESG Risk,Real Estate,TKS,3234.T,241265950720.0,241265950720.0,18.96787,0.284,0.062030002,-0.018,0.2193548387096774,0.0151198197595101,0.0661785744970519,2.648522038098833e+20,1.817546637988728e+53,,,0.0335248531241177,0.0379116421512408,0.040096576026277,0.0766133520895078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0.0016410432
45,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI,1163224832.0,1163224832.0,84.24426,1.964,0.1457590160714285,,0.2193548387096774,7.269380258864558e-05,0.0548932300293608,1495.275672895424,5016178.952547634,298278608.0214101,216071787441.5565,0.1921971691234667,0.1705429109514137,0.1746381494368857,0.1237592077263086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1254,0.0072915186
46,Big Yellow Group Plc,8.0,Negligible ESG Risk,Real Estate,LON,BYG.L,2555361280.0,2555361280.0,10.380953,0.719,0.10358,0.689,0.2258064516129032,0.0001599383451268,0.0565715666620709,2277951804322.13,4.921961893378246e+31,,,0.0161903638289754,0.0736876632415519,0.062804578694794,0.0805909438068305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,556,0.0008977397
47,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN,4030656000.0,4030656000.0,21.83738,1.403,0.10443,-0.164,0.2258064516129032,0.0002523943778242,0.0566409086865939,73282194.0871768,2.3645846383213596e+20,3.474395959435581e+20,,0.0621771495337009,0.0772511026391694,0.1018999451279003,0.1367735406738126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,463,0.0018894345
48,Coats Group Plc,8.0,Negligible ESG Risk,Textiles & Apparel,LON,COA.L,1576693760.0,1576693760.0,19.8,1.404,0.18911,1.434,0.2258064516129032,9.86057076529448e-05,0.0565255671839655,67657358.76216243,5.927813007080771e+18,2.2168596225982996e+19,,0.0760194803888246,0.0966200428140602,0.0999219069820351,0.103179906106328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,617,0.0017130742
