,Unnamed: 0,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth
29,3476,Flex Ltd.,7.5,Negligible ESG Risk,Technology Hardware,NAS,FLEX,11419762688,11419762688,14.38,1.085,0.16027,-0.171
30,2735,"Resideo Technologies, Inc.",7.5,Negligible ESG Risk,Retailing,NYS,REZI,2636880128,2636880128,15.2627125,2.071,0.05895,-0.441
31,1885,Texas Pacific Land Corp.,7.6,Negligible ESG Risk,Oil & Gas Producers,NYS,TPL,18189604864,18189604864,40.800003,1.625,0.4276,0.145
32,3461,"Arrow Electronics, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NYS,ARW,6667792896,6667792896,11.836466,1.265,0.10271,-0.512
33,3475,Fabrinet,7.7,Negligible ESG Risk,Technology Hardware,NYS,FN,7588817920,7588817920,25.948084,0.954,0.18428,0.338
34,3495,"Novanta, Inc.",7.7,Negligible ESG Risk,Technology Hardware,NAS,NOVT,6032965632,6032965632,97.69186,1.287,0.09362,-0.345
35,2086,"Rayonier, Inc.",7.7,Negligible ESG Risk,Real Estate,NYS,RYN,4569562624,4569562624,29.960396,1.055,0.08287,-0.922
36,3504,TD SYNNEX Corp.,7.8,Negligible ESG Risk,Technology Hardware,NYS,SNX,9467225088,9467225088,15.515407,1.404,0.0792,0.175
37,525,"TOPPAN Holdings, Inc.",7.8,Negligible ESG Risk,Commercial Services,TKS,7911.T,1313461764096,1313461764096,17.856844,0.619,0.05697,0.079
38,487,Cimpress Plc,7.8,Negligible ESG Risk,Commercial Services,NAS,CMPR,2115328128,2115328128,13.124417,2.041,,2.983
39,491,De La Rue Plc,7.8,Negligible ESG Risk,Commercial Services,LON,DLAR.L,182315328,182315328,,1.369,-1.5158701,
40,492,dip Corp.,7.9,Negligible ESG Risk,Commercial Services,TKS,2379.T,150857236480,150857236480,16.234947,0.949,0.25912002,0.336
41,3460,Anritsu Corp.,7.9,Negligible ESG Risk,Technology Hardware,TKS,6754.T,147042058240,147042058240,17.6984,,0.06661,1.86
42,9,Schaeffler AG,7.9,Negligible ESG Risk,Auto Components,ETR,SHA.DE,2879783936,2879783936,9.608889,1.352,0.084309995,-0.807
43,3506,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI,1733166976,1733166976,106.25,1.256,0.01112,2.765
44,2075,Mori Hills REIT Investment Corp.,7.9,Negligible ESG Risk,Real Estate,TKS,3234.T,241265950720,241265950720,18.96787,0.284,0.062030002,-0.018
45,513,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI,1163224832,1163224832,,1.964,,
46,2019,Big Yellow Group Plc,8.0,Negligible ESG Risk,Real Estate,LON,BYG.L,2555361280,2555361280,10.380953,0.719,0.10358,0.689
47,482,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN,4030656000,4030656000,21.83738,1.403,0.10443,-0.164
48,3870,Coats Group Plc,8.0,Negligible ESG Risk,Textiles & Apparel,LON,COA.L,1576693760,1576693760,19.8,1.404,0.18911,1.434
49,2017,"Anywhere Real Estate, Inc.",8.0,Negligible ESG Risk,Real Estate,NYS,HOUS,551914112,551914112,,2.293,-0.03061,0.587
50,2737,"Valvoline, Inc.",8.0,Negligible ESG Risk,Retailing,NYS,VVV,5025774080,5025774080,26.712328,1.457,1.0227101,0.403
51,511,PageGroup Plc,8.0,Negligible ESG Risk,Commercial Services,LON,PAGE.L,1213418240,1213418240,23.050001,1.111,0.16686001,-0.61
52,1011,Deutsche Börse AG,8.1,Negligible ESG Risk,Diversified Financials,ETR,DB1.DE,38505742336,38505742336,21.419815,0.602,0.19806999,0.132
53,2018,"AvalonBay Communities, Inc.",8.1,Negligible ESG Risk,Real Estate,NYS,AVB,32068509696,32068509696,38.218643,0.986,0.07143,-0.311
54,2093,"Sekisui House Reit, Inc.",8.2,Negligible ESG Risk,Real Estate,TKS,3309.T,355338027008,355338027008,28.712233,0.422,0.0424,
55,2096,"Starwood Property Trust, Inc.",8.2,Negligible ESG Risk,Real Estate,NYS,STWD,6852578816,6852578816,17.972727,1.738,0.05274,-0.548
56,1020,Molten Ventures Plc,8.2,Negligible ESG Risk,Diversified Financials,LON,GROW.L,772003648,772003648,,,,
57,507,MITIE Group Plc,8.3,Negligible ESG Risk,Commercial Services,LON,MTO.L,1500375296,1500375296,13.311111,1.41,0.29238,0.567
58,502,Korn Ferry,8.3,Negligible ESG Risk,Commercial Services,NYS,KFY,3588211200,3588211200,19.65527,1.546,0.10988,0.309
59,3490,"Methode Electronics, Inc.",8.3,Negligible ESG Risk,Technology Hardware,NYS,MEI,340467648,340467648,,0.716,-0.16997999,
60,2102,The British Land Co. Plc,8.4,Negligible ESG Risk,Real Estate,LON,BLND.L,4041840640,4041840640,,1.555,0.00017999999,
61,2002,"Royal Gold, Inc.",8.5,Negligible ESG Risk,Precious Metals,NAS,RGLD,8870419456,8870419456,36.96712,0.647,0.10985,0.142
62,500,"Kforce, Inc.",8.6,Negligible ESG Risk,Commercial Services,NYS,KFRC,1221264640,1221264640,23.42751,0.889,0.2904,-0.211
63,498,IWG Plc,8.6,Negligible ESG Risk,Commercial Services,LON,IWG.L,1726489088,1726489088,,2.102,-0.89572,
64,2081,"ORIX JREIT, Inc.",8.6,Negligible ESG Risk,Real Estate,TKS,8954.T,420348002304,420348002304,21.626673,0.497,0.05553,0.035
65,6,ElringKlinger AG,8.6,Negligible ESG Risk,Auto Components,ETR,ZIL2.DE,249321600,249321600,4.6294117,1.742,0.054580003,2.75
66,3499,Sanmina Corp.,8.6,Negligible ESG Risk,Technology Hardware,NAS,SANM,3441096448,3441096448,16.313473,0.894,0.10235,-0.289
67,3503,Spectris Plc,8.6,Negligible ESG Risk,Technology Hardware,LON,SXS.L,2830650880,2830650880,10.559701,0.613,0.19844,2.596
68,715,"YETI Holdings, Inc.",8.6,Negligible ESG Risk,Consumer Durables,NYS,YETI,3070328064,3070328064,16.869766,2.116,0.29001,0.343
69,3110,Accenture Plc,8.6,Negligible ESG Risk,Software & Services,NYS,ACN,214104309760,214104309760,31.329973,1.239,0.26,-0.02
70,2057,"Hudson Pacific Properties, Inc.",8.6,Negligible ESG Risk,Real Estate,NYS,HPP,689771648,689771648,,1.336,-0.062319998,
71,514,"Pronexus, Inc. (Japan)",8.7,Negligible ESG Risk,Commercial Services,TKS,7893.T,31631284224,31631284224,11.508121,0.34,0.10151,0.463
72,2089,Savills Plc,8.7,Negligible ESG Risk,Real Estate,LON,SVS.L,1549364864,1549364864,36.903225,1.24,0.057340004,0.706
73,2013,AGNC Investment Corp.,8.7,Negligible ESG Risk,Real Estate,NAS,AGNC,7988957696,7988957696,26.868422,1.457,0.05021,
74,3471,CTS Corp.,8.7,Negligible ESG Risk,Technology Hardware,NYS,CTS,1363089280,1363089280,25.2191,0.575,0.10557,0.172
75,1684,"Interpublic Group of Cos., Inc.",8.7,Negligible ESG Risk,Media,NYS,IPG,11665856512,11665856512,11.503703,1.084,0.27183,-0.162
76,3463,"Badger Meter, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NYS,BMI,5649105408,5649105408,50.148827,0.77,0.21733999,0.474
77,1682,Future Plc,8.8,Negligible ESG Risk,Media,LON,FUTR.L,1180223744,1180223744,13.934211,1.007,0.08428001,-0.379
78,2104,Tritax EuroBox Plc,8.8,Negligible ESG Risk,Real Estate,LON,EBOX.L,295908896,295908896,2.7667985,,,
79,3500,"ScanSource, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NAS,SCSC,1086913024,1086913024,14.781046,1.414,0.08424,
80,505,"ManpowerGroup, Inc.",8.8,Negligible ESG Risk,Commercial Services,NYS,MAN,3321352960,3321352960,69.30693,1.427,0.01984,-0.039
81,509,Okamura Corp.,8.9,Negligible ESG Risk,Commercial Services,TKS,7994.T,188151480320,188151480320,8.938849,0.302,0.12762,0.126
82,2078,"Nippon Prologis REIT, Inc.",8.9,Negligible ESG Risk,Real Estate,TKS,3283.T,763664072704,763664072704,30.737518,0.365,0.04976,0.088
83,2083,"Piedmont Office Realty Trust, Inc.",8.9,Negligible ESG Risk,Real Estate,NYS,PDM,1169320064,1169320064,,1.199,-0.0478,
84,1007,3i Group Plc,8.9,Negligible ESG Risk,Diversified Financials,LON,III.L,29838102528,29838102528,7.793451,,,
85,169,Nationwide Building Society,8.9,Negligible ESG Risk,Banks,LON,NBS.L,1204148864,1204148864,0.009930786,0.303,0.07516,-0.338
86,3473,discoverIE Group Plc,8.9,Negligible ESG Risk,Technology Hardware,LON,DSCV.L,566054848,566054848,36.875,1.095,0.051220004,-0.622
87,483,"BELLSYSTEM24 Holdings, Inc.",9.0,Negligible ESG Risk,Commercial Services,TKS,6183.T,113395597312,113395597312,18.1156,0.462,0.099659994,-0.427
88,499,"Kelly Services, Inc.",9.0,Negligible ESG Risk,Commercial Services,NAS,KELYA,719899328,719899328,15.287878,1.192,0.03839,-0.4
89,3501,Seiko Epson Corp.,9.0,Negligible ESG Risk,Technology Hardware,TKS,6724.T,873778511872,873778511872,16.750273,0.989,0.06381,-0.051
90,515,"Raksul, Inc.",9.1,Negligible ESG Risk,Commercial Services,TKS,4384.T,69563187200,69563187200,36.63093,0.569,0.14604999,2.369
91,3502,Sensata Technologies Holding Plc,9.1,Negligible ESG Risk,Technology Hardware,NYS,ST,5269943808,5269943808,581.8334,1.256,-0.01382,0.469
92,3869,Burberry Group Plc,9.1,Negligible ESG Risk,Textiles & Apparel,LON,BRBY.L,2061858048,2061858048,7.7702703,1.057,0.20126,-0.597
93,501,"KOKUYO CO., LTD.",9.1,Negligible ESG Risk,Commercial Services,TKS,7984.T,282834239488,282834239488,12.385253,-0.073,0.08799,-0.09
94,960,"Crown Holdings, Inc.",9.1,Negligible ESG Risk,Containers & Packaging,NYS,CCK,10966266880,10966266880,25.180056,0.853,0.20309,0.107
95,1,Aptiv Plc,9.1,Negligible ESG Risk,Auto Components,NYS,APTV,16231036928,16231036928,5.213585,1.793,0.34971002,3.132
96,522,SThree Plc,9.2,Negligible ESG Risk,Commercial Services,LON,STEM.L,528499424,528499424,9.5,0.978,0.26601,0.02
97,4290,United Utilities Group Plc,9.2,Negligible ESG Risk,Utilities,LON,UU.L,7326886912,7326886912,56.55263,0.408,0.0556,
98,3482,"Itron, Inc.",9.2,Negligible ESG Risk,Technology Hardware,NAS,ITRI,4347453440,4347453440,23.815271,1.473,0.15175,1.075
99,518,Sato Holdings Corp.,9.2,Negligible ESG Risk,Commercial Services,TKS,6287.T,63413551104,63413551104,18.315533,0.714,0.05589,-0.083
100,1683,Informa Plc,9.2,Negligible ESG Risk,Media,LON,INF.L,11167349760,11167349760,36.57391,1.121,0.0515,-0.397
101,508,"Nichiban Co., Ltd.",9.2,Negligible ESG Risk,Commercial Services,TKS,4218.T,39624564736,39624564736,21.213772,0.285,0.046079997,0.2
102,2055,Hammerson Plc,9.3,Negligible ESG Risk,Real Estate,LON,HMSO.L,1459857536,1459857536,,2.295,-0.01885,
103,3512,Western Digital Corp.,9.3,Negligible ESG Risk,Technology Hardware,NAS,WDC,21503528960,21503528960,,1.38,-0.06973,
104,11,"TS TECH CO., LTD.",9.3,Negligible ESG Risk,Auto Components,TKS,7313.T,219807694848,219807694848,18.340101,,0.04725,18.469
105,495,"Ennis, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,EBF,592435200,592435200,14.249999,0.392,0.12036,-0.092
106,526,"TriNet Group, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,TNET,4618080256,4618080256,15.546823,1.176,0.61675,-0.13
107,517,"Recruit Holdings Co., Ltd.",9.4,Negligible ESG Risk,Commercial Services,TKS,6098.T,12830143152128,12830143152128,36.6294,1.275,0.18058,0.107
108,506,"MillerKnoll, Inc.",9.4,Negligible ESG Risk,Commercial Services,NAS,MLKN,1835016960,1835016960,23.801802,1.177,0.056420002,
109,3477,Halma Plc,9.4,Negligible ESG Risk,Technology Hardware,LON,HLMA.L,9554171904,9554171904,35.676056,0.532,0.16118,0.258
110,963,Smurfit Kappa Group Plc,9.4,Negligible ESG Risk,Containers & Packaging,LON,SKG.L,N/A,N/A,,,,
111,1692,WPP Plc,9.5,Negligible ESG Risk,Media,LON,WPP.L,7979112960,7979112960,38.93684,1.132,0.07334,0.825
112,3483,"Jabil, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NYS,JBL,11648532480,11648532480,9.317604,1.245,0.56054,-0.384
113,2010,"Activia Properties, Inc.",9.5,Negligible ESG Risk,Real Estate,TKS,3279.T,262187089920,262187089920,16.578182,0.528,0.059109997,
114,3484,Jenoptik AG,9.5,Negligible ESG Risk,Technology Hardware,ETR,JEN.DE,1523678208,1523678208,19.014286,1.352,0.09222,0.2
115,2071,LXP Industrial Trust,9.5,Negligible ESG Risk,Real Estate,NYS,LXP,2981176832,2981176832,112.22222,0.892,0.01636,
116,3505,"Trimble, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NAS,TRMB,13262937088,13262937088,8.888707,1.484,0.30337,28.705
117,2109,Workspace Group Plc,9.6,Negligible ESG Risk,Real Estate,LON,WKP.L,1230739328,1230739328,,1.042,-0.115389995,
118,524,"TechnoPro Holdings, Inc.",9.6,Negligible ESG Risk,Commercial Services,TKS,6028.T,304443228160,304443228160,21.096817,1.393,0.18776,-0.497
119,2016,"Annaly Capital Management, Inc.",9.6,Negligible ESG Risk,Real Estate,NYS,NLY,10130583552,10130583552,,1.578,-0.04354,
120,2734,Kingfisher plc,9.6,Negligible ESG Risk,Retailing,LON,KGF.L,5015109120,5015109120,15.238887,0.955,0.052010003,0.15
121,2087,"RE/MAX Holdings, Inc.",9.7,Negligible ESG Risk,Real Estate,NYS,RMAX,344325952,344325952,,1.358,,0.727
122,714,Yamaha Corp.,9.7,Negligible ESG Risk,Consumer Durables,TKS,7951.T,577907130368,577907130368,18.215305,0.675,0.06526,0.442
123,512,Pilot Corp.,9.7,Negligible ESG Risk,Commercial Services,TKS,7846.T,165493948416,165493948416,13.123213,-0.013,0.09434,0.004
124,2090,SBA Communications Corp.,9.7,Negligible ESG Risk,Real Estate,NAS,SBAC,25775009792,25775009792,50.49053,0.664,,-0.193
125,2065,Kite Realty Group Trust,9.8,Negligible ESG Risk,Real Estate,NYS,KRG,5792061952,5792061952,,1.307,-0.00676,
126,959,"AptarGroup, Inc.",9.8,Negligible ESG Risk,Containers & Packaging,NYS,ATR,10085061632,10085061632,31.981054,0.572,0.13914,0.081
127,2041,Elme Communities,9.8,Negligible ESG Risk,Real Estate,NYS,ELME,1537545088,1537545088,,0.913,-0.045840003,
128,2732,Dunelm Group Plc,9.8,Negligible ESG Risk,Retailing,LON,DNLM.L,2517414912,2517414912,16.824324,1.179,0.79511,-0.026
129,1495,Barratt Developments Plc,9.8,Negligible ESG Risk,Homebuilders,LON,BDEV.L,7150715392,7150715392,41.3,1.629,0.020680001,-0.697
130,4288,Telecom Plus Plc,9.9,Negligible ESG Risk,Utilities,LON,TEP.L,1431681280,1431681280,20.359552,0.574,0.30663002,0.084
131,2042,"Empire State Realty Trust, Inc.",9.9,Negligible ESG Risk,Real Estate,NYS,ESRT,2934182912,2934182912,39.23077,1.416,0.04304,-0.264
132,3469,Cognex Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,CGNX,6559912960,6559912960,85.0,1.407,0.05248,-0.364
133,3514,Zebra Technologies Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,ZBRA,16914760704,16914760704,74.02483,1.656,0.07326,-0.219
134,558,Deluxe Corp.,10.0,Low ESG Risk,Commercial Services,NYS,DLX,832937152,832937152,22.164705,1.458,0.06219,0.223
135,2,"BorgWarner, Inc.",10.0,Negligible ESG Risk,Auto Components,NYS,BWA,7489044480,7489044480,9.873875,1.182,0.1183,0.541
136,1356,"Elevance Health, Inc.",10.0,Negligible ESG Risk,Healthcare,NYS,ELV,126067138560,126067138560,19.035713,0.832,0.16576,0.264
137,1690,The New York Times Co.,10.0,Negligible ESG Risk,Media,NYS,NYT,8656563200,8656563200,32.537037,1.024,0.15815,0.423
138,2736,Smiths News Plc,10.0,Negligible ESG Risk,Retailing,LON,SNWS.L,133716512,133716512,6.2666664,0.827,,-0.132
139,2387,Instone Real Estate Group SE,10.0,Low ESG Risk,Real Estate,ETR,INS.DE,417629888,417629888,20.51064,1.643,0.03444,-0.132
140,2856,Inchcape Plc,10.0,Low ESG Risk,Retailing,LON,INCH.L,3380976896,3380976896,12.373134,1.194,0.19498,-0.092
141,1685,News Corp.,10.0,Negligible ESG Risk,Media,NAS,NWSA,15320163328,15320163328,57.826088,1.358,0.03943,
142,2156,Aroundtown SA,10.1,Low ESG Risk,Real Estate,ETR,AT1.DE,2668354560,2668354560,,1.622,-0.09363,
143,3702,"MKS Instruments, Inc.",10.1,Low ESG Risk,Technology Hardware,NAS,MKSI,7104224768,7104224768,703.86664,1.629,0.00338,
144,606,"Kyodo Printing Co., Ltd.",10.1,Low ESG Risk,Commercial Services,TKS,7914.T,24147355648,24147355648,16.644073,,0.02289,-0.546
145,2463,"Marcus & Millichap, Inc.",10.1,Low ESG Risk,Real Estate,NYS,MMI,1468227712,1468227712,,1.139,-0.05424,
146,568,Experian Plc,10.1,Low ESG Risk,Commercial Services,LON,EXPN.L,33712357376,33712357376,37.272728,0.715,0.2787,0.359
147,2332,Grainger Plc,10.1,Low ESG Risk,Real Estate,LON,GRI.L,1760409088,1760409088,,0.707,-0.00058,
148,786,Sleep Number Corp.,10.2,Low ESG Risk,Consumer Durables,NAS,SNBR,315876160,315876160,,2.052,,
149,3008,WH Smith Plc,10.2,Low ESG Risk,Retailing,LON,SMWH.L,1610217600,1610217600,25.102041,1.671,0.2229,-0.461
150,1646,"Ingersoll Rand, Inc.",10.2,Low ESG Risk,Machinery,NYS,IR,35284676608,35284676608,43.29208,1.423,0.085319996,0.023
151,1778,ITV Plc,10.2,Low ESG Risk,Media,LON,ITV.L,3089279232,3089279232,7.1818185,1.436,0.23158,5.6
152,2881,"Lithia Motors, Inc.",10.2,Low ESG Risk,Retailing,NYS,LAD,7385560576,7385560576,8.921189,1.641,0.14092,-0.27
153,584,"Heidrick & Struggles International, Inc.",10.3,Low ESG Risk,Commercial Services,NAS,HSII,732645440,732645440,19.491892,0.847,0.08708,
154,2236,"Cousins Properties, Inc.",10.3,Low ESG Risk,Real Estate,NYS,CUZ,4319964160,4319964160,72.794876,1.292,0.01317,-0.654
155,458,Linde Plc,10.3,Low ESG Risk,Chemicals,NAS,LIN,221122084864,221122084864,35.322655,0.945,0.16193001,0.078
156,2553,Primary Health Properties Plc,10.3,Low ESG Risk,Real Estate,LON,PHP.L,1330955264,1330955264,,0.407,-0.00601,-0.892
157,624,"NL Industries, Inc.",10.3,Low ESG Risk,Commercial Services,NYS,NL,310671392,310671392,14.133334,0.507,0.06347,
158,968,Ball Corp.,10.3,Low ESG Risk,Containers & Packaging,NYS,BALL,19516192768,19516192768,29.356165,0.878,0.12785,-0.073
159,682,"UT Group Co., Ltd.",10.4,Low ESG Risk,Commercial Services,TKS,2146.T,106484776960,106484776960,12.139619,1.686,0.28621998,1.522
160,1931,Danaher Corp.,10.4,Low ESG Risk,Pharmaceuticals,NYS,DHR,197229150208,197229150208,50.29282,0.861,0.07982,-0.181
161,2425,Kimco Realty Corp.,10.4,Low ESG Risk,Real Estate,NYS,KIM,15700069376,15700069376,43.12963,1.492,0.03642,0.034
162,681,"Uchida Yoko Co., Ltd.",10.4,Low ESG Risk,Commercial Services,TKS,8057.T,65950912512,65950912512,9.176448,0.85,0.12085,-0.391
163,3821,Yokogawa Electric Corp.,10.4,Low ESG Risk,Technology Hardware,TKS,6841.T,951096311808,951096311808,20.080765,0.822,,-0.583
164,2457,Macerich Co.,10.5,Low ESG Risk,Real Estate,NYS,MAC,3474503168,3474503168,,2.477,-0.02647,
165,1183,Ecora Resources Plc,10.5,Low ESG Risk,Diversified Metals,LON,ECOR.L,154876544,154876544,10.383333,0.621,0.0017200001,25.65
166,787,"Smith & Wesson Brands, Inc.",10.5,Low ESG Risk,Consumer Durables,NAS,SWBI,548992128,548992128,16.54054,0.941,0.0904,
167,3796,TOYO Corp.,10.5,Low ESG Risk,Technology Hardware,TKS,8151.T,34906931200,34906931200,12.403645,,0.100530006,
168,1054,"Cannae Holdings, Inc.",10.5,Low ESG Risk,Diversified Financials,NYS,CNNE,1185683968,1185683968,,0.88,-0.21212,
169,2556,"Prologis, Inc.",10.6,Low ESG Risk,Real Estate,NYS,PLD,120599904256,120599904256,42.986797,1.083,0.052020002,-0.293
170,2583,"Rexford Industrial Realty, Inc.",10.7,Low ESG Risk,Real Estate,NYS,REXR,11249911808,11249911808,41.20661,0.943,0.03499,0.427
171,3658,IPG Photonics Corp.,10.7,Low ESG Risk,Technology Hardware,NAS,IPGP,2765015808,2765015808,20.633663,0.996,0.06048,-0.657
172,647,"Robert Half, Inc.",10.7,Low ESG Risk,Commercial Services,NYS,RHI,6425458176,6425458176,20.51495,1.226,0.20267999,-0.34
173,3544,Azbil Corp.,10.7,Low ESG Risk,Technology Hardware,TKS,6845.T,621390331904,621390331904,19.841639,,0.14879,0.331
174,605,"KOSAIDO Holdings Co., Ltd.",10.7,Low ESG Risk,Commercial Services,TKS,7868.T,70604595200,70604595200,14.843987,0.079,0.111379996,-0.054
175,2232,COPT Defense Properties,10.7,Low ESG Risk,Real Estate,NYS,CDP,3352481280,3352481280,,1.014,-0.06939,0.161
176,2744,"Advance Auto Parts, Inc.",10.7,Low ESG Risk,Retailing,NYS,AAP,2310588928,2310588928,,1.193,-0.01119,-0.534
177,2847,Headlam Group Plc,10.7,Low ESG Risk,Retailing,LON,HEAD.L,121990024,121990024,15.099999,1.42,0.034590002,-0.743
178,717,Acushnet Holdings Corp.,10.7,Low ESG Risk,Consumer Durables,NYS,GOLF,4029010432,4029010432,22.02027,0.854,0.188,0.018
179,582,Hays plc,10.8,Low ESG Risk,Commercial Services,LON,HAS.L,1429319296,1429319296,,1.13,-0.00798,
180,2453,LSL Property Services Plc,10.8,Low ESG Risk,Real Estate,LON,LSL.L,353161376,353161376,42.500004,1.086,0.07954,
181,137,"Yamaha Motor Co., Ltd.",10.8,Low ESG Risk,Automobiles,TKS,7272.T,1203381600256,1203381600256,6.9783435,1.152,0.15376,-0.026
182,1824,Reach Plc,10.9,Low ESG Risk,Media,LON,RCH.L,318041984,318041984,7.692308,1.007,0.06414,4.252
183,829,"Adtalem Global Education, Inc.",10.9,Low ESG Risk,Consumer Services,NYS,ATGE,2640547328,2640547328,20.485378,0.954,0.097449996,1.575
184,3767,Shimadzu Corp.,10.9,Low ESG Risk,Technology Hardware,TKS,7701.T,1371341455360,1371341455360,24.330683,0.811,0.11965,-0.1
185,3383,SAP SE,10.9,Low ESG Risk,Software & Services,ETR,SAP.DE,224644562944,224644562944,89.1574,0.921,0.061,-0.725
186,2329,Globalworth Real Estate Investments Ltd.,10.9,Low ESG Risk,Real Estate,LON,GWI.L,694557504,694557504,,,,
187,2931,Pool Corp.,10.9,Low ESG Risk,Retailing,NAS,POOL,13255598080,13255598080,29.09152,1.001,0.31962,-0.156
188,2760,"AutoZone, Inc.",11.0,Low ESG Risk,Retailing,NYS,AZO,53306875904,53306875904,21.607119,0.709,,0.075
