,company_name,company_esg_score,company_esg_score_group,industry,stock_exchange,stock_ticker_symbol,market_capital,market_capital_euro,trailing_pe,beta,return_on_equity,earnings_growth,company_esg_score_scale,market_capital_scale,score
41,Anritsu Corp.,7.9,Negligible ESG Risk,Technology Hardware,TKS,6754.T,147042058240.0,147042058240.0,17.6984,,0.06661,1.86,0.21935483870967742,0.009214852320867474,0.06174984891806996
42,Schaeffler AG,7.9,Negligible ESG Risk,Auto Components,ETR,SHA.DE,2879783936.0,2879783936.0,9.608889,1.352,0.084309995,-0.807,0.21935483870967742,0.0001802697618155177,0.054973911998780996
43,"TTM Technologies, Inc.",7.9,Negligible ESG Risk,Technology Hardware,NAS,TTMI,1733166976.0,1733166976.0,106.25,1.256,0.01112,2.765,0.21935483870967742,0.00010841181119187285,0.05492001853581326
44,Mori Hills REIT Investment Corp.,7.9,Negligible ESG Risk,Real Estate,TKS,3234.T,241265950720.0,241265950720.0,18.96787,0.284,0.062030002,-0.018,0.21935483870967742,0.015119819759510158,0.06617857449705197
45,"Pitney Bowes, Inc.",7.9,Negligible ESG Risk,Commercial Services,NYS,PBI,1163224832.0,1163224832.0,,1.964,,,0.21935483870967742,7.269380258864558e-05,0.05489323002936084
46,Big Yellow Group Plc,8.0,Negligible ESG Risk,Real Estate,LON,BYG.L,2555361280.0,2555361280.0,10.380953,0.719,0.10358,0.689,0.22580645161290325,0.00015993834512686194,0.05657156666207096
47,ASGN Incorporated,8.0,Negligible ESG Risk,Commercial Services,NYS,ASGN,4030656000.0,4030656000.0,21.83738,1.403,0.10443,-0.164,0.22580645161290325,0.00025239437782420136,0.056640908686593966
48,Coats Group Plc,8.0,Negligible ESG Risk,Textiles & Apparel,LON,COA.L,1576693760.0,1576693760.0,19.8,1.404,0.18911,1.434,0.22580645161290325,9.86057076529448e-05,0.05652556718396552
49,"Anywhere Real Estate, Inc.",8.0,Negligible ESG Risk,Real Estate,NYS,HOUS,551914112.0,551914112.0,,2.293,-0.03061,0.587,0.22580645161290325,3.4383244602947576e-05,0.05647740033667802
50,"Valvoline, Inc.",8.0,Negligible ESG Risk,Retailing,NYS,VVV,5025774080.0,5025774080.0,26.712328,1.457,1.0227101,0.403,0.22580645161290325,0.00031475796422827506,0.05668768137639702
51,PageGroup Plc,8.0,Negligible ESG Risk,Commercial Services,LON,PAGE.L,1213418240.0,1213418240.0,23.050001,1.111,0.16686001,-0.61,0.22580645161290325,7.58394000806768e-05,0.05650849245328632
52,Deutsche Börse AG,8.1,Negligible ESG Risk,Diversified Financials,ETR,DB1.DE,38505742336.0,38505742336.0,21.419815,0.602,0.19806999,0.132,0.23225806451612907,0.0024129319750338055,0.05987421511030762
53,"AvalonBay Communities, Inc.",8.1,Negligible ESG Risk,Real Estate,NYS,AVB,32068509696.0,32068509696.0,38.218643,0.986,0.07143,-0.311,0.23225806451612907,0.0020095136048764034,0.059571651332689574
54,"Sekisui House Reit, Inc.",8.2,Negligible ESG Risk,Real Estate,TKS,3309.T,355338027008.0,355338027008.0,28.712233,0.422,0.0424,,0.23870967741935478,0.022268663629253505,0.07637891707677882
55,"Starwood Property Trust, Inc.",8.2,Negligible ESG Risk,Real Estate,NYS,STWD,6852578816.0,6852578816.0,17.972727,1.738,0.05274,-0.548,0.23870967741935478,0.00042924296584427113,0.0599993515792219
56,Molten Ventures Plc,8.2,Negligible ESG Risk,Diversified Financials,LON,GROW.L,772003648.0,772003648.0,,,,,0.23870967741935478,4.8176153274618455e-05,0.05971355146979466
57,MITIE Group Plc,8.3,Negligible ESG Risk,Commercial Services,LON,MTO.L,1500375296.0,1500375296.0,13.311111,1.41,0.29238,0.567,0.24516129032258072,9.382286507421265e-05,0.061360689729450836
58,Korn Ferry,8.3,Negligible ESG Risk,Commercial Services,NYS,KFY,3588211200.0,3588211200.0,19.65527,1.546,0.10988,0.309,0.24516129032258072,0.0002246665683628025,0.06145882250691728
59,"Methode Electronics, Inc.",8.3,Negligible ESG Risk,Technology Hardware,NYS,MEI,340467648.0,340467648.0,,0.716,-0.16997999,,0.24516129032258072,2.113199322632718e-05,0.06130617157556492
60,The British Land Co. Plc,8.4,Negligible ESG Risk,Real Estate,LON,BLND.L,4041840640.0,4041840640.0,,1.555,0.00017999999,,0.25161290322580654,0.00025309531400158293,0.06309304729195282
61,"Royal Gold, Inc.",8.5,Negligible ESG Risk,Precious Metals,NAS,RGLD,8870419456.0,8870419456.0,36.96712,0.647,0.10985,0.142,0.25806451612903225,0.0005557000985518703,0.06493290410617196
62,"Kforce, Inc.",8.6,Negligible ESG Risk,Commercial Services,NYS,KFRC,1221264640.0,1221264640.0,23.42751,0.889,0.2904,-0.211,0.2645161290322581,7.6331130312692e-05,0.06618628060579904
63,IWG Plc,8.6,Negligible ESG Risk,Commercial Services,LON,IWG.L,1726489088.0,1726489088.0,,2.102,-0.89572,,0.2645161290322581,0.00010799331106243622,0.06621002724136135
64,"ORIX JREIT, Inc.",8.6,Negligible ESG Risk,Real Estate,TKS,8954.T,420348002304.0,420348002304.0,21.626673,0.497,0.05553,0.035,0.2645161290322581,0.02634280849003102,0.08588613862558778
65,ElringKlinger AG,8.6,Negligible ESG Risk,Auto Components,ETR,ZIL2.DE,249321600.0,249321600.0,4.6294117,1.742,0.054580003,2.75,0.2645161290322581,1.5419912867142225e-05,0.06614059719271488
66,Sanmina Corp.,8.6,Negligible ESG Risk,Technology Hardware,NAS,SANM,3441096448.0,3441096448.0,16.313473,0.894,0.10235,-0.289,0.2645161290322581,0.00021544695540223218,0.06629061747461619
67,Spectris Plc,8.6,Negligible ESG Risk,Technology Hardware,LON,SXS.L,2830650880.0,2830650880.0,10.559701,0.613,0.19844,2.596,0.2645161290322581,0.0001771906160892616,0.06626192522013147
68,"YETI Holdings, Inc.",8.6,Negligible ESG Risk,Consumer Durables,NYS,YETI,3070328064.0,3070328064.0,16.869766,2.116,0.29001,0.343,0.2645161290322581,0.00019221107353434094,0.06627319056321528
69,Accenture Plc,8.6,Negligible ESG Risk,Software & Services,NYS,ACN,214104309760.0,214104309760.0,31.329973,1.239,0.26,-0.02,0.2645161290322581,0.013417612376356807,0.07619224154033212
70,"Hudson Pacific Properties, Inc.",8.6,Negligible ESG Risk,Real Estate,NYS,HPP,689771648.0,689771648.0,,1.336,-0.062319998,,0.2645161290322581,4.302271215014428e-05,0.06616129929217712
71,"Pronexus, Inc. (Japan)",8.7,Negligible ESG Risk,Commercial Services,TKS,7893.T,31631284224.0,31631284224.0,11.508121,0.34,0.10151,0.463,0.2709677419354839,0.001982112888268849,0.06922852015007261
72,Savills Plc,8.7,Negligible ESG Risk,Real Estate,LON,SVS.L,1549364864.0,1549364864.0,36.903225,1.24,0.057340004,0.706,0.2709677419354839,9.689301847436617e-05,0.06781460524772674
73,AGNC Investment Corp.,8.7,Negligible ESG Risk,Real Estate,NAS,AGNC,7988957696.0,7988957696.0,26.868422,1.457,0.05021,,0.2709677419354839,0.0005004593007646903,0.06811727995944448
74,CTS Corp.,8.7,Negligible ESG Risk,Technology Hardware,NYS,CTS,1363089280.0,1363089280.0,25.2191,0.575,0.10557,0.172,0.2709677419354839,8.52192144191195e-05,0.06780584989468531
75,"Interpublic Group of Cos., Inc.",8.7,Negligible ESG Risk,Media,NYS,IPG,11665856512.0,11665856512.0,11.503703,1.084,0.27183,-0.162,0.2709677419354839,0.0007308888363336271,0.0682901021111212
76,"Badger Meter, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NYS,BMI,5649105408.0,5649105408.0,50.148827,0.77,0.21733999,0.474,0.2774193548387097,0.0003538218481164001,0.06962020509576473
77,Future Plc,8.8,Negligible ESG Risk,Media,LON,FUTR.L,1180223744.0,1180223744.0,13.934211,1.007,0.08428001,-0.379,0.2774193548387097,7.375911648314065e-05,0.06941015804703979
78,Tritax EuroBox Plc,8.8,Negligible ESG Risk,Real Estate,LON,EBOX.L,295908896.0,295908896.0,2.7667985,,,,0.2774193548387097,1.8339517000380517e-05,0.06936859334742772
79,"ScanSource, Inc.",8.8,Negligible ESG Risk,Technology Hardware,NAS,SCSC,1086913024.0,1086913024.0,14.781046,1.414,0.08424,,0.2774193548387097,6.791137713833211e-05,0.06940577224253118
80,"ManpowerGroup, Inc.",8.8,Negligible ESG Risk,Commercial Services,NYS,MAN,3321352960.0,3321352960.0,69.30693,1.427,0.01984,-0.039,0.2774193548387097,0.00020794268680305935,0.06951079572477972
81,Okamura Corp.,8.9,Negligible ESG Risk,Commercial Services,TKS,7994.T,188151480320.0,188151480320.0,8.938849,0.302,0.12762,0.126,0.28387096774193554,0.011791160647923106,0.07981111242142622
82,"Nippon Prologis REIT, Inc.",8.9,Negligible ESG Risk,Real Estate,TKS,3283.T,763664072704.0,763664072704.0,30.737518,0.365,0.04976,0.088,0.28387096774193554,0.047858266655857365,0.10686144192737691
83,"Piedmont Office Realty Trust, Inc.",8.9,Negligible ESG Risk,Real Estate,NYS,PDM,1169320064.0,1169320064.0,,1.199,-0.0478,,0.28387096774193554,7.307578793804741e-05,0.07102254877643742
84,3i Group Plc,8.9,Negligible ESG Risk,Diversified Financials,LON,III.L,29838102528.0,29838102528.0,7.793451,,,,0.28387096774193554,0.0018697350269031917,0.07237004320566127
85,Nationwide Building Society,8.9,Negligible ESG Risk,Banks,LON,NBS.L,1204148864.0,1204148864.0,0.009930786,0.303,0.07516,-0.338,0.28387096774193554,7.525849260576906e-05,0.07102418580493822
86,discoverIE Group Plc,8.9,Negligible ESG Risk,Technology Hardware,LON,DSCV.L,566054848.0,566054848.0,36.875,1.095,0.051220004,-0.622,0.28387096774193554,3.526943793927325e-05,0.07099419401393835
87,"BELLSYSTEM24 Holdings, Inc.",9.0,Negligible ESG Risk,Commercial Services,TKS,6183.T,113395597312.0,113395597312.0,18.1156,0.462,0.099659994,-0.427,0.29032258064516125,0.007106244291884004,0.07791032838020331
88,"Kelly Services, Inc.",9.0,Negligible ESG Risk,Commercial Services,NAS,KELYA,719899328.0,719899328.0,15.287878,1.192,0.03839,-0.4,0.29032258064516125,4.491079981792566e-05,0.07261432826115376
89,Seiko Epson Corp.,9.0,Negligible ESG Risk,Technology Hardware,TKS,6724.T,873778511872.0,873778511872.0,16.750273,0.989,0.06381,-0.051,0.29032258064516125,0.05475908725132849,0.11364996059978669
90,"Raksul, Inc.",9.1,Negligible ESG Risk,Commercial Services,TKS,4384.T,69563187200.0,69563187200.0,36.63093,0.569,0.14604999,2.369,0.2967741935483871,0.004359287573623491,0.07746301406731439
91,Sensata Technologies Holding Plc,9.1,Negligible ESG Risk,Technology Hardware,NYS,ST,5269943808.0,5269943808.0,581.8334,1.256,-0.01382,0.469,0.2967741935483871,0.00033005996731255943,0.07444109336258119
92,Burberry Group Plc,9.1,Negligible ESG Risk,Textiles & Apparel,LON,BRBY.L,2061858048.0,2061858048.0,7.7702703,1.057,0.20126,-0.597,0.2967741935483871,0.0001290107275224048,0.07429030643273857
93,"KOKUYO CO., LTD.",9.1,Negligible ESG Risk,Commercial Services,TKS,7984.T,282834239488.0,282834239488.0,12.385253,-0.073,0.08799,-0.09,0.2967741935483871,0.017724885048096467,0.08748721217316913
94,"Crown Holdings, Inc.",9.1,Negligible ESG Risk,Containers & Packaging,NYS,CCK,10966266880.0,10966266880.0,25.180056,0.853,0.20309,0.107,0.2967741935483871,0.0006870458800659387,0.07470883279714623
95,Aptiv Plc,9.1,Negligible ESG Risk,Auto Components,NYS,APTV,16231036928.0,16231036928.0,5.213585,1.793,0.34971002,3.132,0.2967741935483871,0.0010169865658848788,0.07495628831151042
96,SThree Plc,9.2,Negligible ESG Risk,Commercial Services,LON,STEM.L,528499424.0,528499424.0,9.5,0.978,0.26601,0.02,0.3032258064516129,3.291585701592632e-05,0.07583113850566517
97,United Utilities Group Plc,9.2,Negligible ESG Risk,Utilities,LON,UU.L,7326886912.0,7326886912.0,56.55263,0.408,0.0556,,0.3032258064516129,0.0004589676332194711,0.07615067733781783
98,"Itron, Inc.",9.2,Negligible ESG Risk,Technology Hardware,NAS,ITRI,4347453440.0,4347453440.0,23.815271,1.473,0.15175,1.075,0.3032258064516129,0.0002722479257790625,0.07601063755723753
99,Sato Holdings Corp.,9.2,Negligible ESG Risk,Commercial Services,TKS,6287.T,63413551104.0,63413551104.0,18.315533,0.714,0.05589,-0.083,0.3032258064516129,0.003973892744874618,0.07878687117155919
100,Informa Plc,9.2,Negligible ESG Risk,Media,LON,INF.L,11167349760.0,11167349760.0,36.57391,1.121,0.0515,-0.397,0.3032258064516129,0.0006996476504621312,0.07633118735074983
101,"Nichiban Co., Ltd.",9.2,Negligible ESG Risk,Commercial Services,TKS,4218.T,39624564736.0,39624564736.0,21.213772,0.285,0.046079997,0.2,0.3032258064516129,0.0024830480535329652,0.07766873765305295
102,Hammerson Plc,9.3,Negligible ESG Risk,Real Estate,LON,HMSO.L,1459857536.0,1459857536.0,,2.295,-0.01885,,0.3096774193548387,9.128363593402908e-05,0.0774878175656602
103,Western Digital Corp.,9.3,Negligible ESG Risk,Technology Hardware,NAS,WDC,21503528960.0,21503528960.0,,1.38,-0.06973,,0.3096774193548387,0.001347411184843085,0.078429913227342
104,"TS TECH CO., LTD.",9.3,Negligible ESG Risk,Auto Components,TKS,7313.T,219807694848.0,219807694848.0,18.340101,,0.04725,18.469,0.3096774193548387,0.013775040862362403,0.08775063548548148
105,"Ennis, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,EBF,592435200.0,592435200.0,14.249999,0.392,0.12036,-0.092,0.31612903225806455,3.692268230734048e-05,0.07905995007624664
106,"TriNet Group, Inc.",9.4,Negligible ESG Risk,Commercial Services,NYS,TNET,4618080256.0,4618080256.0,15.546823,1.176,0.61675,-0.13,0.31612903225806455,0.0002892079822407795,0.07924916405119672
107,"Recruit Holdings Co., Ltd.",9.4,Negligible ESG Risk,Commercial Services,TKS,6098.T,12830143152128.0,12830143152128.0,36.6294,1.275,0.18058,0.107,0.31612903225806455,0.8040588882570704,0.682076424257319
108,"MillerKnoll, Inc.",9.4,Negligible ESG Risk,Commercial Services,NAS,MLKN,1835016960.0,1835016960.0,23.801802,1.177,0.056420002,,0.31612903225806455,0.0001147947022327406,0.0791183540911907
109,Halma Plc,9.4,Negligible ESG Risk,Technology Hardware,LON,HLMA.L,9554171904.0,9554171904.0,35.676056,0.532,0.16118,0.258,0.31612903225806455,0.0005985505458775232,0.07948117097392428
110,Smurfit Kappa Group Plc,9.4,Negligible ESG Risk,Containers & Packaging,LON,SKG.L,,,,,,,0.31612903225806455,,
111,WPP Plc,9.5,Negligible ESG Risk,Media,LON,WPP.L,7979112960.0,7979112960.0,38.93684,1.132,0.07334,0.825,0.32258064516129037,0.0004998423357466682,0.08102004304213259
112,"Jabil, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NYS,JBL,11648532480.0,11648532480.0,9.317604,1.245,0.56054,-0.384,0.32258064516129037,0.0007298031473202198,0.08119251365081276
113,"Activia Properties, Inc.",9.5,Negligible ESG Risk,Real Estate,TKS,3279.T,262187089920.0,262187089920.0,16.578182,0.528,0.059109997,,0.32258064516129037,0.016430937805090088,0.09296836464414016
114,Jenoptik AG,9.5,Negligible ESG Risk,Technology Hardware,ETR,JEN.DE,1523678208.0,1523678208.0,19.014286,1.352,0.09222,0.2,0.32258064516129037,9.528324771139529e-05,0.08071662372610613
115,LXP Industrial Trust,9.5,Negligible ESG Risk,Real Estate,NYS,LXP,2981176832.0,2981176832.0,112.22222,0.892,0.01636,,0.32258064516129037,0.00018662400736440296,0.0807851292958459
116,"Trimble, Inc.",9.5,Negligible ESG Risk,Technology Hardware,NAS,TRMB,13262937088.0,13262937088.0,8.888707,1.484,0.30337,28.705,0.32258064516129037,0.0008309771318810698,0.0812683941392334
117,Workspace Group Plc,9.6,Negligible ESG Risk,Real Estate,LON,WKP.L,1230739328.0,1230739328.0,,1.042,-0.115389995,,0.3290322580645161,7.692490459497581e-05,0.08231575819457525
118,"TechnoPro Holdings, Inc.",9.6,Negligible ESG Risk,Commercial Services,TKS,6028.T,304443228160.0,304443228160.0,21.096817,1.393,0.18776,-0.497,0.3290322580645161,0.019079110299587143,0.09656739724081938
119,"Annaly Capital Management, Inc.",9.6,Negligible ESG Risk,Real Estate,NYS,NLY,10130583552.0,10130583552.0,,1.578,-0.04354,,0.3290322580645161,0.0006346739952820024,0.08273407001259052
120,Kingfisher plc,9.6,Negligible ESG Risk,Retailing,LON,KGF.L,5015109120.0,5015109120.0,15.238887,0.955,0.052010003,0.15,0.3290322580645161,0.0003140895961543516,0.08249363171324478
121,"RE/MAX Holdings, Inc.",9.7,Negligible ESG Risk,Real Estate,NYS,RMAX,344325952.0,344325952.0,,1.358,,0.727,0.3354838709677419,2.13737913402527e-05,0.08388699808544066
122,Yamaha Corp.,9.7,Negligible ESG Risk,Consumer Durables,TKS,7951.T,577907130368.0,577907130368.0,18.215305,0.675,0.06526,0.442,0.3354838709677419,0.03621696563203549,0.11103369196596209
123,Pilot Corp.,9.7,Negligible ESG Risk,Commercial Services,TKS,7846.T,165493948416.0,165493948416.0,13.123213,-0.013,0.09434,0.004,0.3354838709677419,0.010371223680645657,0.09164938550241972
124,SBA Communications Corp.,9.7,Negligible ESG Risk,Real Estate,NAS,SBAC,25775009792.0,25775009792.0,50.49053,0.664,,-0.193,0.3354838709677419,0.001615102898312683,0.08508229491566999
125,Kite Realty Group Trust,9.8,Negligible ESG Risk,Real Estate,NYS,KRG,5792061952.0,5792061952.0,,1.307,-0.00676,,0.34193548387096784,0.00036278086811910345,0.08575595661883129
126,"AptarGroup, Inc.",9.8,Negligible ESG Risk,Containers & Packaging,NYS,ATR,10085061632.0,10085061632.0,31.981054,0.572,0.13914,0.081,0.34193548387096784,0.0006318211577662783,0.08595773683606667
127,Elme Communities,9.8,Negligible ESG Risk,Real Estate,NYS,ELME,1537545088.0,1537545088.0,,0.913,-0.045840003,,0.34193548387096784,9.615227861980259e-05,0.08555598517670682
128,Dunelm Group Plc,9.8,Negligible ESG Risk,Retailing,LON,DNLM.L,2517414912.0,2517414912.0,16.824324,1.179,0.79511,-0.026,0.34193548387096784,0.00015756026392519312,0.08560204116568586
129,Barratt Developments Plc,9.8,Negligible ESG Risk,Homebuilders,LON,BDEV.L,7150715392.0,7150715392.0,41.3,1.629,0.020680001,-0.697,0.34193548387096784,0.00044792704614717417,0.08581981625235234
130,Telecom Plus Plc,9.9,Negligible ESG Risk,Utilities,LON,TEP.L,1431681280.0,1431681280.0,20.359552,0.574,0.30663002,0.084,0.34838709677419355,8.951784309907295e-05,0.08716391257587269
131,"Empire State Realty Trust, Inc.",9.9,Negligible ESG Risk,Real Estate,NYS,ESRT,2934182912.0,2934182912.0,39.23077,1.416,0.04304,-0.264,0.34838709677419355,0.00018367892029454876,0.0872345333837693
132,Cognex Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,CGNX,6559912960.0,6559912960.0,85.0,1.407,0.05248,-0.364,0.34838709677419355,0.00041090173301471775,0.08740495049330943
133,Zebra Technologies Corp.,9.9,Negligible ESG Risk,Technology Hardware,NAS,ZBRA,16914760704.0,16914760704.0,74.02483,1.656,0.07326,-0.219,0.34838709677419355,0.0010598352163496514,0.08789165060581063
