company_name,ticker_symbol,company_esg_score,company_esg_score_group,industry
Intesa Sanpaolo SpA,MIL:ISP,9.3,Negligible ESG Risk,Banks
KBC Group NV,BRU:KBC,8.8,Negligible ESG Risk,Banks
KfW,-,5.5,Negligible ESG Risk,Banks
Kuntarahoitus Oyj,-,7.2,Negligible ESG Risk,Banks
Kutxabank SA,-,9.6,Negligible ESG Risk,Banks
La Banque Postale SA,-,9.2,Negligible ESG Risk,Banks
Landsbankinn hf,-,8.5,Negligible ESG Risk,Banks
Landwirtschaftliche Rentenbank,-,9.1,Negligible ESG Risk,Banks
Nationwide Building Society,LON:NBS,8.9,Negligible ESG Risk,Banks
Nederlandse Financierings-Maatschappij Ontwikkelingslanden NV,-,5.5,Negligible ESG Risk,Banks
Nederlandse Waterschapsbank NV,-,9.4,Negligible ESG Risk,Banks
Nordic Investment Bank,-,6.5,Negligible ESG Risk,Banks
NRW.BANK,-,9.0,Negligible ESG Risk,Banks
O-Bank Co. Ltd.,TAI:2897,6.6,Negligible ESG Risk,Banks
Oesterreichische Kontrollbank AG,-,4.9,Negligible ESG Risk,Banks
"Santander Holdings USA, Inc.",-,9.9,Negligible ESG Risk,Banks
SFIL SA,-,7.7,Negligible ESG Risk,Banks
Sparebanken Sør AS,OSL:SOR,9.7,Negligible ESG Risk,Banks
Swedish Export Credit Corp.,-,7.5,Negligible ESG Risk,Banks
The Co-operative Bank Plc,-,8.6,Negligible ESG Risk,Banks
The World Bank Group,-,9.8,Negligible ESG Risk,Banks
Türkiye Sinai Kalkinma Bankasi AS,IST:TSKB.E,7.0,Negligible ESG Risk,Banks
Aareal Bank AG,HAM:ARLN,18.1,Low ESG Risk,Banks
ABN AMRO Bank NV,AMS:ABN,19.8,Low ESG Risk,Banks
Abu Dhabi Commercial Bank,ADS:ADCB,13.0,Low ESG Risk,Banks
Africa Finance Corp.,-,14.1,Low ESG Risk,Banks
Agence Française de Développement,-,10.5,Low ESG Risk,Banks
Agence France Locale Société anonyme,-,18.3,Low ESG Risk,Banks
Agricultural Development Bank of China,-,19.7,Low ESG Risk,Banks
AIB Group plc,DUB:A5G,11.4,Low ESG Risk,Banks
Akbank TAS,IST:AKBNK.E,14.8,Low ESG Risk,Banks
Aktia Bank Plc,HEL:AKTIA,18.8,Low ESG Risk,Banks
Alberta Capital Finance Authority,-,19.4,Low ESG Risk,Banks
Alpha Services & Holdings SA,ATH:ALPHA,17.9,Low ESG Risk,Banks
Amalgamated Financial Corp.,NAS:AMAL,19.5,Low ESG Risk,Banks
Arab Petroleum Investments Corp.,-,14.4,Low ESG Risk,Banks
Argenta Bank en Verzekeringsgroep NV,-,16.4,Low ESG Risk,Banks
Asian Infrastructure Investment Bank,-,13.7,Low ESG Risk,Banks
AU Small Finance Bank Ltd.,BOM:540611,17.1,Low ESG Risk,Banks
Axis Bank Ltd.,BOM:532215,19.6,Low ESG Risk,Banks
Banca Comerciala Romana SA,-,15.8,Low ESG Risk,Banks
Banca Transilvania SA,BSE:TLV,13.3,Low ESG Risk,Banks
Banco Bilbao Vizcaya Argentaria SA,MCE:BBVA,19.2,Low ESG Risk,Banks
Banco BPM SpA,MIL:BAMI,13.4,Low ESG Risk,Banks
Banco Comercial Português SA,LIS:BCP,19.7,Low ESG Risk,Banks
Banco Cooperativo Sicredi SA,-,14.6,Low ESG Risk,Banks
Banco de Chile SA,SGO:CHILE,14.4,Low ESG Risk,Banks
Banco de Sabadell SA,MCE:SAB,13.2,Low ESG Risk,Banks
Banco do Brasil SA,BSP:BBAS3,19.5,Low ESG Risk,Banks
Banco Mercantil del Norte SA de CV,-,15.1,Low ESG Risk,Banks
Banco Nacional de Comercio Exterior SNC,-,17.9,Low ESG Risk,Banks
Banco Santander (Brasil) SA,BSP:SANB11,16.4,Low ESG Risk,Banks
Banco Santander Chile SA,SGO:BSANTANDER,14.1,Low ESG Risk,Banks
Banco Santander SA,MCE:SAN,19.2,Low ESG Risk,Banks
Bancolombia SA,BOG:PFBCOLOM,17.1,Low ESG Risk,Banks
Bank Hapoalim BM,TAE:POLI,13.6,Low ESG Risk,Banks
Bank Ochrony Srodowiska SA,WAR:BOS,12.3,Low ESG Risk,Banks
"Bank of America, NA (Australia Branch)",-,17.1,Low ESG Risk,Banks
Bank of Georgia Group Plc,LON:BGEO,16.2,Low ESG Risk,Banks
Bank of Ireland Group Plc,DUB:BIRG,16.7,Low ESG Risk,Banks
Bank of Montreal,TSE:BMO,13.7,Low ESG Risk,Banks
Bankinter SA,MCE:BKT,19.7,Low ESG Risk,Banks
Banque Fédérative du Crédit Mutuel SA,PAR:BFCDN,19.3,Low ESG Risk,Banks
Banque Internationale à Luxembourg SA,BRU:1153516,11.0,Low ESG Risk,Banks
Banque Ouest Africaine de Développement,-,14.7,Low ESG Risk,Banks
Barclays Bank Plc,-,15.6,Low ESG Risk,Banks
Basler Kantonalbank,SWX:BSKP,14.3,Low ESG Risk,Banks
BAWAG Group AG,WBO:BG,15.9,Low ESG Risk,Banks
BayernLB Holding AG,-,19.5,Low ESG Risk,Banks
"BDO Unibank, Inc.",PHS:BDO,20.0,Low ESG Risk,Banks
Belfius Bank SA,-,17.7,Low ESG Risk,Banks
Bendigo & Adelaide Bank Ltd.,ASX:BEN,18.9,Low ESG Risk,Banks
BFF Bank SpA,MIL:BFF,15.0,Low ESG Risk,Banks
"BGC Group, Inc.",NAS:BGC,19.8,Low ESG Risk,Banks
BNP Paribas Fortis SA/NV,BRU:1153319,16.5,Low ESG Risk,Banks
BOC Hong Kong (Holdings) Ltd.,HKG:2388,18.1,Low ESG Risk,Banks
BPCE SA,-,18.5,Low ESG Risk,Banks
BPER Banca SpA,MIL:BPE,12.7,Low ESG Risk,Banks
Bpifrance SA,-,12.7,Low ESG Risk,Banks
Caisse d'Amortissement de la Dette Sociale,-,19.9,Low ESG Risk,Banks
Caixa Central-Caixa Central de Crédito Agrícola Mútuo CRL,-,19.8,Low ESG Risk,Banks
Caixa Geral de Depósitos SA,-,13.9,Low ESG Risk,Banks
CaixaBank SA,MCE:CABK,14.7,Low ESG Risk,Banks
Canadian Imperial Bank of Commerce,TSE:CM,17.4,Low ESG Risk,Banks
Canadian Western Bank,TSE:CWB,19.8,Low ESG Risk,Banks
Cassa Centrale Banca - Credito Cooperativo Italiano SpA,-,17.1,Low ESG Risk,Banks
Central American Bank for Economic Integration,-,11.8,Low ESG Risk,Banks
Chang Hwa Commercial Bank Ltd.,TAI:2801,16.6,Low ESG Risk,Banks
China Development Bank,-,18.0,Low ESG Risk,Banks
CIMB Group Holdings Bhd.,KLS:1023,15.1,Low ESG Risk,Banks
Clydesdale Bank Plc,-,16.5,Low ESG Risk,Banks
Commercial International Bank - Egypt (CIB) SAE,CAI:COMI,18.5,Low ESG Risk,Banks
Commonwealth Bank of Australia,ASX:CBA,14.1,Low ESG Risk,Banks
Community Finance Co. 1 Plc,-,12.2,Low ESG Risk,Banks
Coöperatieve Rabobank UA,-,13.4,Low ESG Risk,Banks
Corporación Financiera de Desarrollo SA,-,13.8,Low ESG Risk,Banks
Coventry Building Society,-,15.6,Low ESG Risk,Banks
Crédit Mutuel Arkéa SCFA,-,11.2,Low ESG Risk,Banks
Crelan SA NV,-,19.4,Low ESG Risk,Banks
"CTBC Financial Holding Co., Ltd.",TAI:2891,17.3,Low ESG Risk,Banks
Danske Bank A/S,CSE:DANSKE,18.9,Low ESG Risk,Banks
DBS Group Holdings Ltd.,SES:D05,16.4,Low ESG Risk,Banks
De Volksbank NV,-,11.6,Low ESG Risk,Banks
DEUTSCHE APOTHEKER- UND ÄRZTEBANK eG,-,19.6,Low ESG Risk,Banks
Deutsche Bank SAE,-,15.7,Low ESG Risk,Banks
Deutsche Kreditbank AG,-,18.1,Low ESG Risk,Banks
"Development Bank of Japan, Inc.",-,12.5,Low ESG Risk,Banks
Development Bank of Kazakhstan JSC,-,16.1,Low ESG Risk,Banks
DNB Bank ASA,OSL:DNB,14.0,Low ESG Risk,Banks
DZ BANK AG Deutsche Zentral-Genossenschaftsbank,-,17.2,Low ESG Risk,Banks
DZ HYP AG,-,13.6,Low ESG Risk,Banks
"E.SUN Financial Holding Co., Ltd.",TAI:2884,10.9,Low ESG Risk,Banks
Emirates NBD Bank PJSC,DFM:EMIRATESNBD,11.6,Low ESG Risk,Banks
"EQB, Inc.",TSE:EQB,18.9,Low ESG Risk,Banks
Erste Group Bank AG,WBO:EBS,13.9,Low ESG Risk,Banks
European Financial Stability Facility SA (Luxembourg),-,15.1,Low ESG Risk,Banks
European Stability Mechanism (ESM),-,10.3,Low ESG Risk,Banks
"Export Credit Bank of Turkey, Inc.",-,14.0,Low ESG Risk,Banks
Export Finance Australia,-,13.4,Low ESG Risk,Banks
Federal Home Loan Mortgage Corp.,OTC:FMCC,16.8,Low ESG Risk,Banks
Federal National Mortgage Association,OTC:FNMA,12.7,Low ESG Risk,Banks
Fifth Third Bancorp,NAS:FITB,16.9,Low ESG Risk,Banks
FinecoBank SpA,MIL:FBK,12.1,Low ESG Risk,Banks
Finnvera Oyj,-,11.2,Low ESG Risk,Banks
First Abu Dhabi Bank PJSC,ADS:FAB,17.3,Low ESG Risk,Banks
"First Financial Holding Co., Ltd.",TAI:2892,18.6,Low ESG Risk,Banks
First West Credit Union,-,11.8,Low ESG Risk,Banks
FirstRand Ltd.,JSE:FSR,16.7,Low ESG Risk,Banks
Grupo Financiero Banorte SAB de CV,MEX:GFNORTEO,13.7,Low ESG Risk,Banks
Grupo Financiero BBVA México SA de CV,-,18.5,Low ESG Risk,Banks
Hamburg Commercial Bank AG,-,12.4,Low ESG Risk,Banks
Hamburger Sparkasse AG,-,18.4,Low ESG Risk,Banks
Hang Seng Bank Ltd.,HKG:11,17.7,Low ESG Risk,Banks
Hong Leong Bank Bhd.,KLS:5819,17.6,Low ESG Risk,Banks
Housing Australia,-,18.6,Low ESG Risk,Banks
HSBC Bank Canada,-,11.2,Low ESG Risk,Banks
"HSBC Bank USA, NA",-,16.4,Low ESG Risk,Banks
"HSBC USA, Inc.",-,15.0,Low ESG Risk,Banks
"Huntington Bancshares, Inc.",NAS:HBAN,16.6,Low ESG Risk,Banks
HYPO NOE Landesbank für Niederösterreich und Wien AG,-,17.8,Low ESG Risk,Banks
Iccrea Banca SpA,-,14.3,Low ESG Risk,Banks
IIFL Home Finance Ltd.,-,17.0,Low ESG Risk,Banks
illimity Bank SpA,MIL:ILTY,17.4,Low ESG Risk,Banks
ING Bank Slaski SA,WAR:ING,14.2,Low ESG Risk,Banks
ING Groep NV,AMS:INGA,18.2,Low ESG Risk,Banks
International Bank for Reconstruction & Development,-,10.5,Low ESG Risk,Banks
Investec Plc,LON:INVP,14.0,Low ESG Risk,Banks
Investitionsbank Berlin,-,12.7,Low ESG Risk,Banks
Investitionsbank Schleswig-Holstein,-,17.2,Low ESG Risk,Banks
Japan Bank for International Cooperation,-,16.3,Low ESG Risk,Banks
"KB Financial Group, Inc.",KRX:105560,18.6,Low ESG Risk,Banks
KEB Hana Bank,-,18.2,Low ESG Risk,Banks
King's Town Bank,TAI:2809,17.4,Low ESG Risk,Banks
Kommunalbanken AS (Norway),-,11.2,Low ESG Risk,Banks
KommuneKredit,-,15.8,Low ESG Risk,Banks
Kommuninvest i Sverige AB,-,13.1,Low ESG Risk,Banks
Korea Development Bank,-,15.4,Low ESG Risk,Banks
Korea SMEs & Startups Agency,-,12.7,Low ESG Risk,Banks
Kotak Mahindra Bank Ltd.,BOM:500247,13.7,Low ESG Risk,Banks
La Corporación Andina de Fomento SA,-,12.1,Low ESG Risk,Banks
Landesbank Baden-Württemberg,-,17.6,Low ESG Risk,Banks
Landesbank Hessen-Thüringen Girozentrale,-,18.8,Low ESG Risk,Banks
Landeskreditbank Baden-Württemberg -Förderbank,-,10.2,Low ESG Risk,Banks
Laurentian Bank of Canada,TSE:LB,16.8,Low ESG Risk,Banks
Leeds Building Society,-,16.3,Low ESG Risk,Banks
LfA Förderbank Bayern,-,10.4,Low ESG Risk,Banks
Luminor Bank AS (Estonia),-,12.6,Low ESG Risk,Banks
Magyar Export-Import Bank Zrt,-,18.7,Low ESG Risk,Banks
Manulife Bank of Canada,-,14.4,Low ESG Risk,Banks
mBank SA,WAR:MBK,12.8,Low ESG Risk,Banks
Meadowhall Finance Plc,-,12.7,Low ESG Risk,Banks
"Mega Financial Holding Co., Ltd.",TAI:2886,12.8,Low ESG Risk,Banks
MFB Magyar Fejlesztési Bank Zrt.,-,14.5,Low ESG Risk,Banks
Mizrahi Tefahot Bank Ltd.,TAE:MZTF,17.8,Low ESG Risk,Banks
"MONETA Money Bank, a.s.",PRA:MONET,15.6,Low ESG Risk,Banks
MORhomes Plc,-,17.8,Low ESG Risk,Banks
Münchener Hypothekenbank eG,-,15.1,Low ESG Risk,Banks
National Australia Bank Ltd.,ASX:NAB,17.9,Low ESG Risk,Banks
National Bank of Canada,TSE:NA,14.0,Low ESG Risk,Banks
National Bank of Greece SA,ATH:ETE,15.4,Low ESG Risk,Banks
National Rural Utilities Cooperative Finance Corp.,NYS:NRUC,17.6,Low ESG Risk,Banks
Nationale-Nederlanden Bank NV,-,14.6,Low ESG Risk,Banks
NatWest Group Plc,LON:NWG,17.7,Low ESG Risk,Banks
Nedbank Group Ltd.,JSE:NED,15.0,Low ESG Risk,Banks
New Development Bank,-,15.5,Low ESG Risk,Banks
NIBC Bank NV,-,17.6,Low ESG Risk,Banks
NIBC Holding NV,-,18.6,Low ESG Risk,Banks
Norddeutsche Landesbank - Girozentrale,-,19.1,Low ESG Risk,Banks
Nordea Bank Abp,HEL:NDA.FI,13.9,Low ESG Risk,Banks
Nordea Mortgage Bank Plc,-,18.6,Low ESG Risk,Banks
Nova Ljubljanska Banka d.d.,LJU:NLBR,14.6,Low ESG Risk,Banks
Nykredit Realkredit A/S,-,10.7,Low ESG Risk,Banks
OP Financial Group,-,12.9,Low ESG Risk,Banks
OTP Bank Nyrt,BUD:OTP,14.7,Low ESG Risk,Banks
Paragon Banking Group Plc,LON:PAG,13.5,Low ESG Risk,Banks
Permanent TSB Plc,-,18.6,Low ESG Risk,Banks
Poste Italiane SpA,MIL:PST,15.4,Low ESG Risk,Banks
Power Finance Corp. Ltd.,BOM:532810,17.3,Low ESG Risk,Banks
PT Bank Rakyat Indonesia (Persero) Tbk,JKT:BBRI,17.8,Low ESG Risk,Banks
Public Services & Procurement Canada,-,18.7,Low ESG Risk,Banks
Raiffeisen Bank International AG,WBO:RBI,16.2,Low ESG Risk,Banks
Raiffeisenbank as,-,13.4,Low ESG Risk,Banks
REC Ltd.,BOM:532955,18.0,Low ESG Risk,Banks
Regions Financial Corp.,NYS:RF,14.9,Low ESG Risk,Banks
"Resona Holdings, Inc.",TKS:8308,18.5,Low ESG Risk,Banks
Säästöpankkiliitto osk,-,18.7,Low ESG Risk,Banks
